sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,ZT,Electrical conductivity,Power factor
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,300,1.5511e+27,,,,,-0.03384,,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,350,1.6124e+27,0.0000048451,0.00067221,0.78653,0.000037239,0.013972,206394.0888732946,0.0002862156
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,400,1.6738e+27,0.0000059032,0.0006187,0.72618,0.000044518,0.061784,169399.6476487329,0.0003357251
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,450,1.7351e+27,0.0000069612,0.00056519,0.66583,0.000051892,0.1096,143653.3930931448,0.0003868269
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,500,1.7965e+27,0.0000080193,0.00051169,0.60548,0.000059361,0.15741,124699.1632686145,0.000439406
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,550,1.8578e+27,0.0000090773,0.00045818,0.54513,0.000066925,0.20522,110164.9168805702,0.0004934238
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,600,1.9191e+27,0.000010135,0.00040468,0.48478,0.000074584,0.25303,98667.9822397632,0.0005488676
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,650,1.9805e+27,0.000011193,0.00035117,0.42443,0.000082337,0.30085,89341.5527561869,0.0006056805
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,700,2.0418e+27,0.000012251,0.00029766,0.36408,0.000090186,0.34866,81625.9897151253,0.0006639062
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,750,2.1031e+27,0.000013309,0.00024416,0.30374,0.00009813,0.39647,75137.1252535878,0.0007235327
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31550,Cu4Mn2Te4,undefined,800,2.1645e+27,0.000014368,0.00019065,0.24339,0.00010617,0.44428,69599.1091314031,0.000784526
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31550,Cu4Mn2Te4,undefined,850,,,,0.18304,,0.49209,,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,350,1.4594e+27,0.0000054181,0.00065495,0.73101,0.000035607,0.014698,184566.5454679685,0.0002340043
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,400,1.5923e+27,0.0000062753,0.00059901,0.68121,0.00004236,0.054187,159354.9312383472,0.0002859416
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,450,1.7252e+27,0.0000071326,0.00054308,0.6314,0.000049114,0.093676,140201.3291086,0.0003381915
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,500,1.8581e+27,0.0000079898,0.00048714,0.58159,0.000055868,0.13316,125159.5784625398,0.0003906523
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,550,1.991e+27,0.0000088471,0.00043121,0.53179,0.000062622,0.17265,113031.3888166744,0.0004432543
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,600,2.124e+27,0.0000097043,0.00037527,0.48198,0.000069375,0.21214,103047.1028307039,0.0004959544
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,650,2.2569e+27,0.000010562,0.00031934,0.43218,0.000076129,0.25163,94679.0380609733,0.0005487242
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,700,2.3898e+27,0.000011419,0.0002634,0.38237,0.000082883,0.29112,87573.3426744899,0.0006015931
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31551,Cu4.1Mn2Te4,undefined,750,2.5227e+27,0.000012276,0.00020747,0.33256,0.000089636,0.33061,81459.7588791137,0.0006544976
27920,10.1016/j.jallcom.2018.04.214,25324,3(c),31551,Cu4.1Mn2Te4,undefined,800,,0.000013133,0.00015154,0.28276,0.00009639,0.3701,76144.0645701668,0.0007074569
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31551,Cu4.1Mn2Te4,undefined,300,,,,0.78082,,-0.024791,,
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31551,Cu4.1Mn2Te4,undefined,850,,,,0.23295,,0.40959,,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,350,1.351e+27,0.0000054688,0.0005554,0.6833,0.000034483,0.006149,182855.4710356934,0.0002174293
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,400,1.4618e+27,0.0000064413,0.00051265,0.64305,0.000041969,0.050175,155248.1641904585,0.0002734536
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,450,1.5726e+27,0.0000074138,0.00046989,0.60279,0.000049454,0.0942,134883.5954571205,0.0003298846
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,500,1.6835e+27,0.0000083864,0.00042714,0.56254,0.000056939,0.13823,119240.6753791854,0.0003865842
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,550,1.7943e+27,0.0000093589,0.00038438,0.52228,0.000064425,0.18225,106850.1640150018,0.0004434902
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,600,1.9051e+27,0.000010331,0.00034163,0.48203,0.00007191,0.22628,96796.0507211306,0.000500537
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,650,2.0159e+27,0.000011304,0.00029887,0.44177,0.000079395,0.2703,88464.2604387827,0.0005576403
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,700,2.1267e+27,0.000012277,0.00025611,0.40151,0.000086881,0.31433,81453.123727295,0.0006148333
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,750,2.2375e+27,0.000013249,0.00021336,0.36126,0.000094366,0.35835,75477.3945203412,0.0006721218
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31552,Cu4.3Mn2Te4,undefined,800,2.3484e+27,0.000014222,0.0001706,0.321,0.00010185,0.40238,70313.5986499789,0.0007293927
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31552,Cu4.3Mn2Te4,undefined,300,,,,0.72356,,-0.037877,,
27920,10.1016/j.jallcom.2018.04.214,25330,5(b),31552,Cu4.3Mn2Te4,undefined,850,,,,0.28075,,,,
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,350,1.1332e+27,0.0000070917,0.00066854,1.1442,0.000048905,0.024022,141009.9129968837,0.0003372533
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,400,1.2146e+27,0.0000086489,0.00060525,1.0615,0.000056676,0.073788,115621.6397460949,0.0003713962
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,450,1.2961e+27,0.000010206,0.00054196,0.97875,0.000065042,0.12355,97981.5794630609,0.0004145073
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,500,1.3776e+27,0.000011763,0.00047867,0.89601,0.000073681,0.17332,85012.3267873842,0.0004615226
27920,10.1016/j.jallcom.2018.04.214,25321,3(b),31553,Cu3.7Zn0.3Mn2Te4,undefined,550,1.459e+27,0.000013321,0.00041538,0.81328,0.000082346,0.22308,75069.4392312889,0.0005090356
