sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Electrical resistivity,Hall coefficient,Hall movility,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,total thermal conductivity,Figure of merit Z
2798,10.1039/c4ta04462b,5789,3(b),7213,x=0,SnS,350,,-172.96,-0.0057817,,,,-0.000010998,0.00049688,1.0974,-0.019564,,-0.0000100219
2798,10.1039/c4ta04462b,5789,3(b),7213,x=0,SnS,400,-4.4331e+22,-350.94,-0.0028495,,0.00086307,,-0.000003208,0.00050898,1.0332,-0.0083167,,-0.0000031049
2798,10.1039/c4ta04462b,5789,3(b),7213,x=0,SnS,450,1.8713e+22,12096,0.000082674,,0.00093063,,0.0000045821,0.00052108,0.96895,0.0029302,,0.0000047289
2798,10.1039/c4ta04462b,5789,3(b),7213,x=0,SnS,500,8.1757e+22,331.69,0.0030149,,0.0009982,,0.000012372,0.00053318,0.90474,0.014177,,0.0000136746
2798,10.1039/c4ta04462b,5789,3(b),7213,x=0,SnS,550,1.448e+23,168.15,0.0059471,,0.0010658,,0.000020162,0.00054528,0.84053,0.025424,,0.0000239872
2798,10.1039/c4ta04462b,5789,3(b),7213,x=0,SnS,600,2.0785e+23,112.62,0.0088793,,0.0011333,,0.000027952,0.00055738,0.77633,0.036671,,0.0000360053
2798,10.1039/c4ta04462b,5789,3(b),7213,x=0,SnS,650,2.7089e+23,84.667,0.011811,,0.0012009,,0.000035743,0.00056948,0.71212,0.047918,,0.0000501924
2798,10.1039/c4ta04462b,5789,3(b),7213,x=0,SnS,700,,67.824,0.014744,,,,0.000043533,0.00058158,0.64791,0.059165,,0.0000671899
2798,10.1039/c4ta04462b,5789,3(b),7213,x=0,SnS,750,,56.574,0.017676,,,,0.000051323,0.00059369,0.5837,0.070412,,0.000087927
2798,10.1039/c4ta04462b,5789,3(b),7213,x=0,SnS,800,,48.525,0.020608,,,,0.000059113,0.00060579,0.5195,0.081658,,0.0001137883
2798,10.1039/c4ta04462b,5789,3(b),7214,x=0.05,Sn0.9995Ag0.0005S,350,,-186.91,-0.0053502,,,,-0.0000084826,0.00059175,1.1098,-0.0026752,,-0.0000076434
2798,10.1039/c4ta04462b,5789,3(b),7214,x=0.05,Sn0.9995Ag0.0005S,400,2.4786e+24,-391.54,-0.002554,,0.0010439,,-0.0000018363,0.00058982,1.0476,-0.00070115,,-0.0000017529
2798,10.1039/c4ta04462b,5789,3(b),7214,x=0.05,Sn0.9995Ag0.0005S,450,2.348e+24,4129.7,0.00024215,,0.00099513,,0.0000048099,0.00058789,0.98529,-0.012849,,0.0000048817
2798,10.1039/c4ta04462b,5789,3(b),7214,x=0.05,Sn0.9995Ag0.0005S,500,2.2173e+24,329.13,0.0030383,,0.00094639,,0.000011456,0.00058596,0.92301,-0.00097804,,0.0000124116
2798,10.1039/c4ta04462b,5789,3(b),7214,x=0.05,Sn0.9995Ag0.0005S,550,2.0867e+24,171.39,0.0058345,,0.00089765,,0.000018102,0.00058404,0.86074,0.010893,,0.0000210307
2798,10.1039/c4ta04462b,5789,3(b),7214,x=0.05,Sn0.9995Ag0.0005S,600,1.956e+24,115.87,0.0086306,,0.00084891,,0.000024749,0.00058211,0.79846,0.022765,,0.0000309959
2798,10.1039/c4ta04462b,5789,3(b),7214,x=0.05,Sn0.9995Ag0.0005S,650,1.8254e+24,87.512,0.011427,,0.00080017,,0.000031395,0.00058018,0.73619,0.034636,,0.0000426452
2798,10.1039/c4ta04462b,5789,3(b),7214,x=0.05,Sn0.9995Ag0.0005S,700,,70.309,0.014223,,,,0.000038041,0.00057825,0.67391,0.046508,,0.0000564482
2798,10.1039/c4ta04462b,5789,3(b),7214,x=0.05,Sn0.9995Ag0.0005S,750,,58.758,0.017019,,,,0.000044687,0.00057633,0.61164,0.058379,,0.000073061
2798,10.1039/c4ta04462b,5789,3(b),7214,x=0.05,Sn0.9995Ag0.0005S,800,,50.467,0.019815,,,,0.000051333,0.0005744,0.54937,0.07025,,0.0000934398
2798,10.1039/c4ta04462b,5789,3(b),7215,x=0.25,Sn0.9975Ag0.0025S,350,,66.146,0.015118,,,,0.000037436,0.00045836,0.95774,-0.033091,,0.0000390879
2798,10.1039/c4ta04462b,5789,3(b),7215,x=0.25,Sn0.9975Ag0.0025S,400,,43.64,0.022915,,,,0.000051076,0.00046148,0.90581,-0.0022289,,0.0000563871
2798,10.1039/c4ta04462b,5789,3(b),7215,x=0.25,Sn0.9975Ag0.0025S,450,,32.561,0.030712,,,,0.000064716,0.0004646,0.85387,0.028633,,0.0000757914
2798,10.1039/c4ta04462b,5789,3(b),7215,x=0.25,Sn0.9975Ag0.0025S,500,,25.968,0.038509,,,,0.000078356,0.00046772,0.80194,0.059495,,0.0000977081
2798,10.1039/c4ta04462b,5789,3(b),7215,x=0.25,Sn0.9975Ag0.0025S,550,,21.595,0.046306,,,,0.000091996,0.00047084,0.75,0.090357,,0.0001226613
2798,10.1039/c4ta04462b,5789,3(b),7215,x=0.25,Sn0.9975Ag0.0025S,600,,18.483,0.054103,,,,0.00010564,0.00047397,0.69807,0.12122,,0.0001513315
2798,10.1039/c4ta04462b,5789,3(b),7215,x=0.25,Sn0.9975Ag0.0025S,650,,16.155,0.0619,,,,0.00011928,0.00047709,0.64613,0.15208,,0.0001846068
2798,10.1039/c4ta04462b,5789,3(b),7215,x=0.25,Sn0.9975Ag0.0025S,700,,14.348,0.069697,,,,0.00013292,0.00048021,0.5942,0.18294,,0.0002236957
2798,10.1039/c4ta04462b,5789,3(b),7215,x=0.25,Sn0.9975Ag0.0025S,750,,12.904,0.077494,,,,0.00014656,0.00048333,0.54226,0.2138,,0.0002702763
2798,10.1039/c4ta04462b,5789,3(b),7215,x=0.25,Sn0.9975Ag0.0025S,800,,11.725,0.08529,,,,0.0001602,0.00048645,0.49033,0.24467,,0.0003267187
2798,10.1039/c4ta04462b,5789,3(b),7215,x=0.25,Sn0.9975Ag0.0025S,850,,10.743,0.093087,,,,0.00017384,0.00048957,0.43839,0.27553,,0.0003965419
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,350,,68.032,0.014699,,,,0.000027226,0.00040218,0.72778,-0.046661,,0.0000374097
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,400,,35.566,0.028117,,,,0.000047512,0.00040544,0.69872,0.0002515,,0.0000679986
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,450,,24.076,0.041535,,,,0.000067799,0.0004087,0.66965,0.047164,,0.0001012454
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,500,,18.197,0.054953,,,,0.000088085,0.00041196,0.64059,0.094077,,0.000137506
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,550,,14.626,0.06837,,,,0.00010837,0.00041521,0.61153,0.14099,,0.0001772113
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,600,,12.227,0.081788,,,,0.00012866,0.00041847,0.58247,0.1879,,0.0002208869
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,650,,10.504,0.095206,,,,0.00014894,0.00042173,0.5534,0.23482,,0.0002691362
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,700,,9.2064,0.10862,,,,0.00016923,0.00042499,0.52434,0.28173,,0.0003227486
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,750,,8.194,0.12204,,,,0.00018952,0.00042824,0.49528,0.32864,,0.0003826522
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,800,,7.3823,0.13546,,,,0.0002098,0.0004315,0.46622,0.37555,,0.0004500021
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,850,,6.7168,0.14888,,,,0.00023009,0.00043476,0.43715,0.42247,,0.0005263411
2798,10.1039/c4ta04462b,5789,3(b),7216,x=0.5,Sn0.995Ag0.005S,900,,6.1618,0.16229,,,,0.00025038,0.00043802,0.40809,0.46938,,0.0006135411
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,350,,74.94,0.013344,,,,0.000013638,0.00037817,0.9598,-0.020936,,0.0000142092
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,400,,44.829,0.022307,,,,0.000032892,0.0003888,0.91124,0.0080915,,0.0000360959
2798,10.1039/c4ta04462b,5789,3(b),7217,x=1,Sn0.99Ag0.01S,450,,31.981,0.031269,,,,0.000052146,0.00039943,0.86269,0.037119,,0.0000604458
