sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Seebeck coefficient,ZT,Electrical conductivity,Power factor
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,300,0.000013374,0.00015821,0.30153,74771.9455660236,0.001871572
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,350,0.000015296,0.00017798,1.9066,65376.5690376569,0.0020709258
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,400,0.000020315,0.00019775,1.7885,49224.710804824,0.0019249354
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,450,0.000027332,0.00021753,1.6705,36587.1505927118,0.0017312784
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,500,0.000035459,0.0002373,1.5524,28201.584929073,0.0015880676
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,550,0.000044014,0.00025707,1.4344,22720.0436224838,0.0015014537
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,600,0.000052523,0.00027684,1.3164,19039.2780305771,0.0014591776
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,650,0.00006072,0.00029661,1.1983,16469.0382081686,0.0014489047
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,700,0.000068546,0.00031639,1.0803,14588.7433256499,0.0014603716
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,750,0.00007615,0.00033616,0.96221,13131.9763624425,0.0014839599
156,10.1002/adma.201103153,21538,1a,26782,3.7e19,MgxPb1‐xTe:Na,800,,,0.84417,,
156,10.1002/adma.201103153,21538,1a,26783,5.8e19,MgxPb1‐xTe:Na,300,0.00000537,,0.26722,186219.739292365,
