sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Power factor,Figure of merit Z
18596,10.1002/aenm.201700099,25444,2a,31676,Pb1−xBixTe_ x=0.3%,Pb0.997Bi0.003Te,350,,,47831,-0.00014026,2.4533,0.19497,,0.0000209069,0.0009409729,0.000383554
18596,10.1002/aenm.201700099,25444,2a,31676,Pb1−xBixTe_ x=0.3%,Pb0.997Bi0.003Te,400,,,45017,-0.00015253,2.3312,0.25448,,0.0000222138,0.0010473386,0.0004492701
18596,10.1002/aenm.201700099,25444,2a,31676,Pb1−xBixTe_ x=0.3%,Pb0.997Bi0.003Te,450,,,42204,-0.00016479,2.209,0.314,,0.0000236944,0.001146081,0.0005188235
18596,10.1002/aenm.201700099,25444,2a,31676,Pb1−xBixTe_ x=0.3%,Pb0.997Bi0.003Te,500,,,39391,-0.00017705,2.0869,0.37352,,0.0000253865,0.001234778,0.0005916805
18596,10.1002/aenm.201700099,25444,2a,31676,Pb1−xBixTe_ x=0.3%,Pb0.997Bi0.003Te,550,,,36577,-0.00018931,1.9648,0.43303,,0.0000273396,0.0013108566,0.0006671705
18596,10.1002/aenm.201700099,25444,2a,31676,Pb1−xBixTe_ x=0.3%,Pb0.997Bi0.003Te,600,,,33764,-0.00020157,1.8426,0.49255,,0.0000296173,0.001371847,0.000744517
18596,10.1002/aenm.201700099,25444,2a,31676,Pb1−xBixTe_ x=0.3%,Pb0.997Bi0.003Te,650,,,30950,-0.00021383,1.7205,0.55207,,0.0000323102,0.0014151352,0.0008225139
18596,10.1002/aenm.201700099,25444,2a,31676,Pb1−xBixTe_ x=0.3%,Pb0.997Bi0.003Te,700,,,28137,-0.00022609,1.5984,0.61158,,0.0000355404,0.0014382703,0.0008998187
18596,10.1002/aenm.201700099,25444,2a,31676,Pb1−xBixTe_ x=0.3%,Pb0.997Bi0.003Te,750,,,25324,-0.00023835,1.4762,0.6711,,0.0000394882,0.0014386747,0.0009745798
18596,10.1002/aenm.201700099,25444,2a,31676,Pb1−xBixTe_ x=0.3%,Pb0.997Bi0.003Te,800,,,22510,-0.00025061,1.3541,0.73061,,0.0000444247,0.0014137489,0.0010440506
18596,10.1002/aenm.201700099,25444,2a,31676,Pb1−xBixTe_ x=0.3%,Pb0.997Bi0.003Te,850,,,19697,-0.00026287,1.232,0.79013,,0.0000507692,0.0013610752,0.0011047689
18596,10.1002/aenm.201700099,25444,2a,31677,Pb1−xBixTe_ x=0.5%,Pb0.995Bi0.005Te,350,,,65053,-0.00011034,2.613,0.15479,,0.0000153721,0.0007920148,0.0003031055
18596,10.1002/aenm.201700099,25444,2a,31677,Pb1−xBixTe_ x=0.5%,Pb0.995Bi0.005Te,400,,,60480,-0.00012437,2.4764,0.21507,,0.0000165344,0.0009354984,0.0003777655
18596,10.1002/aenm.201700099,25444,2a,31677,Pb1−xBixTe_ x=0.5%,Pb0.995Bi0.005Te,450,,,55906,-0.0001384,2.3398,0.27536,,0.0000178872,0.0010708548,0.0004576694
18596,10.1002/aenm.201700099,25444,2a,31677,Pb1−xBixTe_ x=0.5%,Pb0.995Bi0.005Te,500,,,51333,-0.00015243,2.2032,0.33565,,0.0000194806,0.0011927174,0.0005413568
18596,10.1002/aenm.201700099,25444,2a,31677,Pb1−xBixTe_ x=0.5%,Pb0.995Bi0.005Te,550,,,46759,-0.00016646,2.0666,0.39594,,0.0000213863,0.0012956419,0.0006269437
18596,10.1002/aenm.201700099,25444,2a,31677,Pb1−xBixTe_ x=0.5%,Pb0.995Bi0.005Te,600,,,42186,-0.00018049,1.93,0.45623,,0.0000237045,0.0013742781,0.0007120612
18596,10.1002/aenm.201700099,25444,2a,31677,Pb1−xBixTe_ x=0.5%,Pb0.995Bi0.005Te,650,,,37612,-0.00019452,1.7934,0.51652,,0.0000265873,0.001423164,0.0007935564
18596,10.1002/aenm.201700099,25444,2a,31677,Pb1−xBixTe_ x=0.5%,Pb0.995Bi0.005Te,700,,,33039,-0.00020855,1.6567,0.57681,,0.0000302673,0.0014369686,0.000867368
18596,10.1002/aenm.201700099,25444,2a,31677,Pb1−xBixTe_ x=0.5%,Pb0.995Bi0.005Te,750,,,28465,-0.00022259,1.5201,0.63709,,0.0000351309,0.0014103357,0.0009277914
18596,10.1002/aenm.201700099,25444,2a,31677,Pb1−xBixTe_ x=0.5%,Pb0.995Bi0.005Te,800,,,23892,-0.00023662,1.3835,0.69738,,0.000041855,0.0013376898,0.0009668882
18596,10.1002/aenm.201700099,25444,2a,31677,Pb1−xBixTe_ x=0.5%,Pb0.995Bi0.005Te,850,,,19318,-0.00025065,1.2469,0.75767,,0.0000517652,0.0012136615,0.0009733431
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,350,,,99311,-0.000088072,2.7077,0.11296,,0.0000100694,0.0007703234,0.0002844936
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,400,,,91283,-0.00010193,2.5638,0.17573,,0.0000109549,0.0009484053,0.0003699217
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,450,,,83256,-0.00011578,2.4199,0.2385,,0.0000120111,0.0011160474,0.0004611957
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,500,,,75228,-0.00012963,2.276,0.30126,,0.0000132929,0.0012641266,0.0005554159
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,550,,,67200,-0.00014349,2.132,0.36403,,0.000014881,0.0013836063,0.0006489711
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,600,,,59172,-0.00015734,1.9881,0.4268,,0.0000168999,0.0014648547,0.0007368114
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,650,,,51145,-0.0001712,1.8442,0.48957,,0.0000195523,0.0014990313,0.0008128355
18596,10.1002/aenm.201700099,25444,2a,31678,Pb1−xBixTe_ x= 0.7%,Pb0.993Bi0.007Te,700,,,43117,-0.00018505,1.7003,0.55233,,0.0000231927,0.0014764771,0.0008683627
