sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27914,10.1038/nature23667,25166,3(a),31356,MNC00R,undefined,300,174350,,,,0.0000057356,,
27914,10.1038/nature23667,25166,3(a),31356,MNC00R,undefined,350,167450,-0.00013736,2.9618,0.37127,0.0000059719,0.003159408,0.0010667189
27914,10.1038/nature23667,25166,3(a),31356,MNC00R,undefined,400,160550,-0.00014382,2.9207,0.47301,0.0000062286,0.0033208471,0.0011370038
27914,10.1038/nature23667,25166,3(a),31356,MNC00R,undefined,450,153650,-0.00015028,2.8795,0.57475,0.0000065083,0.0034700436,0.0012050855
27914,10.1038/nature23667,25166,3(a),31356,MNC00R,undefined,500,146750,-0.00015674,2.8384,0.67648,0.0000068143,0.00360527,0.0012701769
27914,10.1038/nature23667,25166,3(a),31356,MNC00R,undefined,550,139850,-0.00016321,2.7973,0.77822,0.0000071505,0.0037252549,0.0013317324
27914,10.1038/nature23667,25166,3(a),31356,MNC00R,undefined,600,132950,-0.00016967,2.7562,0.87996,0.0000075216,0.0038273525,0.0013886338
27914,10.1038/nature23667,25166,3(a),31356,MNC00R,undefined,650,126050,-0.00017613,2.715,0.9817,0.0000079334,0.003910295,0.001440256
27914,10.1038/nature23667,25166,3(a),31356,MNC00R,undefined,700,119150,-0.00018259,2.6739,1.0834,0.0000083928,0.0039723547,0.0014856033
27914,10.1038/nature23667,25166,3(a),31356,MNC00R,undefined,750,112260,-0.00018905,2.6328,1.1852,0.0000089079,0.0040121615,0.0015239143
27914,10.1038/nature23667,25166,3(a),31356,MNC00R,undefined,800,105360,-0.00019551,2.5916,1.2869,0.0000094913,0.0040272975,0.0015539811
27914,10.1038/nature23667,25166,3(a),31357,MNC01R,undefined,350,193400,-0.00013831,2.7882,0.47149,0.0000051706,0.0036996755,0.0013269046
27914,10.1038/nature23667,25166,3(a),31357,MNC01R,undefined,400,184800,-0.00014835,2.759,0.59334,0.0000054113,0.0040670271,0.0014740946
27914,10.1038/nature23667,25166,3(a),31357,MNC01R,undefined,450,176200,-0.0001581,2.7298,0.71519,0.0000056754,0.0044042265,0.001613388
27914,10.1038/nature23667,25166,3(a),31357,MNC01R,undefined,500,167600,-0.00016737,2.7005,0.83704,0.0000059666,0.0046949314,0.0017385415
27914,10.1038/nature23667,25166,3(a),31357,MNC01R,undefined,550,159010,-0.00017598,2.6713,0.9589,0.0000062889,0.0049243744,0.0018434374
27914,10.1038/nature23667,25166,3(a),31357,MNC01R,undefined,600,150410,-0.00018375,2.6421,1.0807,0.0000066485,0.0050784526,0.0019221273
27914,10.1038/nature23667,25166,3(a),31357,MNC01R,undefined,650,141810,-0.00019049,2.6128,1.2026,0.0000070517,0.0051457801,0.0019694504
27914,10.1038/nature23667,25166,3(a),31357,MNC01R,undefined,700,133210,-0.00019601,2.5836,1.3245,0.0000075069,0.0051179176,0.0019809249
27914,10.1038/nature23667,25166,3(a),31357,MNC01R,undefined,750,124610,-0.00020015,2.5544,1.4463,0.000008025,0.0049918794,0.0019542278
27914,10.1038/nature23667,25166,3(a),31357,MNC01R,undefined,800,116020,-0.0002027,2.5251,1.5682,0.0000086192,0.0047669474,0.0018878252
27914,10.1038/nature23667,25166,3(a),31357,MNC01R,undefined,850,107420,-0.00020349,2.4959,1.69,0.0000093093,0.0044480667,0.0017821494
27914,10.1038/nature23667,25166,3(a),31358,MNC02R,undefined,350,192880,-0.0001534,2.6955,0.597,0.0000051846,0.0045387673,0.0016838313
27914,10.1038/nature23667,25166,3(a),31358,MNC02R,undefined,400,184700,-0.00015966,2.6658,0.71921,0.0000054142,0.004708246,0.0017661663
27914,10.1038/nature23667,25166,3(a),31358,MNC02R,undefined,450,176520,-0.00016591,2.6361,0.84143,0.0000056651,0.0048589121,0.00184322
27914,10.1038/nature23667,25166,3(a),31358,MNC02R,undefined,500,168340,-0.00017217,2.6064,0.96364,0.0000059404,0.0049900199,0.0019145258
27914,10.1038/nature23667,25166,3(a),31358,MNC02R,undefined,550,160160,-0.00017842,2.5767,1.0859,0.0000062438,0.0050984848,0.0019786878
27914,10.1038/nature23667,25166,3(a),31358,MNC02R,undefined,600,151980,-0.00018468,2.547,1.2081,0.0000065798,0.0051835366,0.0020351538
27914,10.1038/nature23667,25166,3(a),31358,MNC02R,undefined,650,143800,-0.00019094,2.5173,1.3303,0.0000069541,0.0052426724,0.002082657
27914,10.1038/nature23667,25166,3(a),31358,MNC02R,undefined,700,135620,-0.00019719,2.4877,1.4525,0.0000073735,0.005273434,0.002119803
27914,10.1038/nature23667,25166,3(a),31358,MNC02R,undefined,750,127440,-0.00020345,2.458,1.5747,0.0000078468,0.0052749841,0.0021460472
27914,10.1038/nature23667,25166,3(a),31358,MNC02R,undefined,800,119260,-0.0002097,2.4283,1.6969,0.000008385,0.00524435,0.0021596796
27914,10.1038/nature23667,25167,3(b),31358,MNC02R,undefined,300,,-0.00014714,,,,,
