sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
7972,10.1039/c3ee41859f,26734,3(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,350,36308,0.44319,,0.64718,0.17456,0.0000275421,,
7972,10.1039/c3ee41859f,26734,3(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,400,34302,0.42125,,0.62948,0.25257,0.0000291528,,
7972,10.1039/c3ee41859f,26734,3(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,450,32295,0.39932,,0.61179,0.33058,0.0000309645,,
7972,10.1039/c3ee41859f,26734,3(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,500,30289,0.37739,,0.59409,0.40859,0.0000330153,,
7972,10.1039/c3ee41859f,26734,3(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,550,28282,0.35545,,0.5764,0.4866,0.0000353582,,
7972,10.1039/c3ee41859f,26734,3(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,600,26276,0.33352,,0.5587,0.56461,0.0000380575,,
7972,10.1039/c3ee41859f,26734,3(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,650,24269,0.31158,,0.54101,0.64262,0.0000412048,,
7972,10.1039/c3ee41859f,26734,3(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,700,22263,0.28965,,0.52331,0.72063,0.0000449176,,
7972,10.1039/c3ee41859f,26734,3(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,750,20257,0.26771,,0.50562,0.79864,0.0000493657,,
7972,10.1039/c3ee41859f,26734,3(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,800,18250,0.24578,,0.48792,0.87665,0.0000547945,,
7972,10.1039/c3ee41859f,26734,3(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,850,16244,0.22385,,0.47023,0.95466,0.0000615612,,
7972,10.1039/c3ee41859f,26734,3(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,900,14237,0.20191,,0.45253,1.0327,0.0000702395,,
7972,10.1039/c3ee41859f,26746,4(a),33522,Bi0.875Ba0.125CuSeO_ 0T-parallel,undefined,300,,0.46512,,0.66487,0.096547,,,
7972,10.1039/c3ee41859f,26734,3(a),33523,Bi0.875Ba0.125CuSeO_ 0T-perp,undefined,350,40244,0.46661,0.000096523,0.6837,0.18821,0.0000248484,0.0003749409,0.0005483997
7972,10.1039/c3ee41859f,26734,3(a),33523,Bi0.875Ba0.125CuSeO_ 0T-perp,undefined,400,38000,0.44342,0.00010475,0.66474,0.27018,0.0000263158,0.0004169574,0.0006272488
7972,10.1039/c3ee41859f,26734,3(a),33523,Bi0.875Ba0.125CuSeO_ 0T-perp,undefined,450,35757,0.42024,0.00011298,0.64577,0.35215,0.0000279666,0.0004564195,0.0007067834
7972,10.1039/c3ee41859f,26734,3(a),33523,Bi0.875Ba0.125CuSeO_ 0T-perp,undefined,500,33514,0.39705,0.00012121,0.62681,0.43412,0.0000298383,0.0004923831,0.0007855381
7972,10.1039/c3ee41859f,26734,3(a),33523,Bi0.875Ba0.125CuSeO_ 0T-perp,undefined,550,31271,0.37387,0.00012944,0.60785,0.51609,0.0000319785,0.0005239366,0.0008619506
7972,10.1039/c3ee41859f,26734,3(a),33523,Bi0.875Ba0.125CuSeO_ 0T-perp,undefined,600,29028,0.35069,0.00013767,0.58889,0.59806,0.0000344495,0.0005501685,0.0009342467
7972,10.1039/c3ee41859f,26734,3(a),33523,Bi0.875Ba0.125CuSeO_ 0T-perp,undefined,650,26784,0.3275,0.0001459,0.56993,0.68003,0.0000373357,0.0005701459,0.0010003789
