sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Hall movility,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
2798,10.1039/c4ta04462b,5790,3(c),7213,x=0,SnS,350,,-59.102,,-0.000010998,0.00049688,1.0974,-0.014883,-0.0169199012,-0.0000100219
2798,10.1039/c4ta04462b,5790,3(c),7213,x=0,SnS,400,-4.4331e+22,-27.886,0.00086307,-0.000003208,0.00050898,1.0332,-0.0036282,-0.0358602883,-0.0000031049
2798,10.1039/c4ta04462b,5790,3(c),7213,x=0,SnS,450,1.8713e+22,3.3288,0.00093063,0.0000045821,0.00052108,0.96895,0.0076264,0.3004085556,0.0000047289
2798,10.1039/c4ta04462b,5790,3(c),7213,x=0,SnS,500,8.1757e+22,34.544,0.0009982,0.000012372,0.00053318,0.90474,0.018881,0.0289485873,0.0000136746
2798,10.1039/c4ta04462b,5790,3(c),7213,x=0,SnS,550,1.448e+23,65.759,0.0010658,0.000020162,0.00054528,0.84053,0.030136,0.0152070439,0.0000239872
2798,10.1039/c4ta04462b,5790,3(c),7213,x=0,SnS,600,2.0785e+23,96.974,0.0011333,0.000027952,0.00055738,0.77633,0.04139,0.0103120424,0.0000360053
2798,10.1039/c4ta04462b,5790,3(c),7213,x=0,SnS,650,2.7089e+23,128.19,0.0012009,0.000035743,0.00056948,0.71212,0.052645,0.0078009205,0.0000501924
2798,10.1039/c4ta04462b,5790,3(c),7213,x=0,SnS,700,,159.4,,0.000043533,0.00058158,0.64791,0.0639,0.0062735257,0.0000671899
2798,10.1039/c4ta04462b,5790,3(c),7213,x=0,SnS,750,,190.62,,0.000051323,0.00059369,0.5837,0.075155,0.0052460392,0.000087927
2798,10.1039/c4ta04462b,5790,3(c),7213,x=0,SnS,800,,221.84,,0.000059113,0.00060579,0.5195,0.086409,0.0045077533,0.0001137883
2798,10.1039/c4ta04462b,5790,3(c),7214,x=0.05,Sn0.9995Ag0.0005S,350,,-55.618,,-0.0000084826,0.00059175,1.1098,-0.0026752,-0.0179797907,-0.0000076434
2798,10.1039/c4ta04462b,5790,3(c),7214,x=0.05,Sn0.9995Ag0.0005S,400,2.4786e+24,-25.964,0.0010439,-0.0000018363,0.00058982,1.0476,-0.00070115,-0.0385148667,-0.0000017529
2798,10.1039/c4ta04462b,5790,3(c),7214,x=0.05,Sn0.9995Ag0.0005S,450,2.348e+24,3.6904,0.00099513,0.0000048099,0.00058789,0.98529,-0.010541,0.2709733362,0.0000048817
2798,10.1039/c4ta04462b,5790,3(c),7214,x=0.05,Sn0.9995Ag0.0005S,500,2.2173e+24,33.345,0.00094639,0.000011456,0.00058596,0.92301,0.0023773,0.0299895037,0.0000124116
2798,10.1039/c4ta04462b,5790,3(c),7214,x=0.05,Sn0.9995Ag0.0005S,550,2.0867e+24,62.999,0.00089765,0.000018102,0.00058404,0.86074,0.015295,0.0158732678,0.0000210307
2798,10.1039/c4ta04462b,5790,3(c),7214,x=0.05,Sn0.9995Ag0.0005S,600,1.956e+24,92.653,0.00084891,0.000024749,0.00058211,0.79846,0.028213,0.0107929587,0.0000309959
2798,10.1039/c4ta04462b,5790,3(c),7214,x=0.05,Sn0.9995Ag0.0005S,650,1.8254e+24,122.31,0.00080017,0.000031395,0.00058018,0.73619,0.041132,0.0081759464,0.0000426452
2798,10.1039/c4ta04462b,5790,3(c),7214,x=0.05,Sn0.9995Ag0.0005S,700,,151.96,,0.000038041,0.00057825,0.67391,0.05405,0.0065806791,0.0000564482
2798,10.1039/c4ta04462b,5790,3(c),7214,x=0.05,Sn0.9995Ag0.0005S,750,,181.62,,0.000044687,0.00057633,0.61164,0.066968,0.0055060015,0.000073061
2798,10.1039/c4ta04462b,5790,3(c),7214,x=0.05,Sn0.9995Ag0.0005S,800,,211.27,,0.000051333,0.0005744,0.54937,0.079886,0.0047332797,0.0000934398
2798,10.1039/c4ta04462b,5790,3(c),7215,x=0.25,Sn0.9975Ag0.0025S,350,,95.336,,0.000037436,0.00045836,0.95774,-0.022291,0.0104892171,0.0000390879
2798,10.1039/c4ta04462b,5790,3(c),7215,x=0.25,Sn0.9975Ag0.0025S,400,,193.97,,0.000051076,0.00046148,0.90581,0.0075668,0.0051554364,0.0000563871
2798,10.1039/c4ta04462b,5790,3(c),7215,x=0.25,Sn0.9975Ag0.0025S,450,,292.61,,0.000064716,0.0004646,0.85387,0.037425,0.0034175182,0.0000757914
2798,10.1039/c4ta04462b,5790,3(c),7215,x=0.25,Sn0.9975Ag0.0025S,500,,391.25,,0.000078356,0.00046772,0.80194,0.067282,0.0025559105,0.0000977081
2798,10.1039/c4ta04462b,5790,3(c),7215,x=0.25,Sn0.9975Ag0.0025S,550,,489.89,,0.000091996,0.00047084,0.75,0.09714,0.0020412746,0.0001226613
2798,10.1039/c4ta04462b,5790,3(c),7215,x=0.25,Sn0.9975Ag0.0025S,600,,588.53,,0.00010564,0.00047397,0.69807,0.127,0.0016991487,0.0001513315
2798,10.1039/c4ta04462b,5790,3(c),7215,x=0.25,Sn0.9975Ag0.0025S,650,,687.17,,0.00011928,0.00047709,0.64613,0.15686,0.001455244,0.0001846068
2798,10.1039/c4ta04462b,5790,3(c),7215,x=0.25,Sn0.9975Ag0.0025S,700,,785.81,,0.00013292,0.00048021,0.5942,0.18671,0.0012725723,0.0002236957
2798,10.1039/c4ta04462b,5790,3(c),7215,x=0.25,Sn0.9975Ag0.0025S,750,,884.45,,0.00014656,0.00048333,0.54226,0.21657,0.0011306462,0.0002702763
2798,10.1039/c4ta04462b,5790,3(c),7215,x=0.25,Sn0.9975Ag0.0025S,800,,983.09,,0.0001602,0.00048645,0.49033,0.24643,0.0010172009,0.0003267187
2798,10.1039/c4ta04462b,5790,3(c),7215,x=0.25,Sn0.9975Ag0.0025S,850,,1081.7,,0.00017384,0.00048957,0.43839,0.27629,0.0009244707,0.0003965419
2798,10.1039/c4ta04462b,5790,3(c),7216,x=0.5,Sn0.995Ag0.005S,350,,77.463,,0.000027226,0.00040218,0.72778,-0.048975,0.012909389,0.0000374097
2798,10.1039/c4ta04462b,5790,3(c),7216,x=0.5,Sn0.995Ag0.005S,400,,224.29,,0.000047512,0.00040544,0.69872,-0.0025371,0.0044585135,0.0000679986
2798,10.1039/c4ta04462b,5790,3(c),7216,x=0.5,Sn0.995Ag0.005S,450,,371.11,,0.000067799,0.0004087,0.66965,0.043901,0.0026946188,0.0001012454
2798,10.1039/c4ta04462b,5790,3(c),7216,x=0.5,Sn0.995Ag0.005S,500,,517.94,,0.000088085,0.00041196,0.64059,0.090339,0.0019307256,0.000137506
2798,10.1039/c4ta04462b,5790,3(c),7216,x=0.5,Sn0.995Ag0.005S,550,,664.76,,0.00010837,0.00041521,0.61153,0.13678,0.0015043023,0.0001772113
2798,10.1039/c4ta04462b,5790,3(c),7216,x=0.5,Sn0.995Ag0.005S,600,,811.58,,0.00012866,0.00041847,0.58247,0.18322,0.0012321644,0.0002208869
2798,10.1039/c4ta04462b,5790,3(c),7216,x=0.5,Sn0.995Ag0.005S,650,,958.41,,0.00014894,0.00042173,0.5534,0.22965,0.0010433948,0.0002691362
2798,10.1039/c4ta04462b,5790,3(c),7216,x=0.5,Sn0.995Ag0.005S,700,,1105.2,,0.00016923,0.00042499,0.52434,0.27609,0.0009048136,0.0003227486
2798,10.1039/c4ta04462b,5790,3(c),7216,x=0.5,Sn0.995Ag0.005S,750,,1252.1,,0.00018952,0.00042824,0.49528,0.32253,0.0007986583,0.0003826522
2798,10.1039/c4ta04462b,5790,3(c),7216,x=0.5,Sn0.995Ag0.005S,800,,1398.9,,0.0002098,0.0004315,0.46622,0.36897,0.0007148474,0.0004500021
2798,10.1039/c4ta04462b,5790,3(c),7216,x=0.5,Sn0.995Ag0.005S,850,,1545.7,,0.00023009,0.00043476,0.43715,0.41541,0.0006469561,0.0005263411
2798,10.1039/c4ta04462b,5790,3(c),7216,x=0.5,Sn0.995Ag0.005S,900,,1692.5,,0.00025038,0.00043802,0.40809,0.46184,0.0005908419,0.0006135411
2798,10.1039/c4ta04462b,5790,3(c),7217,x=1,Sn0.99Ag0.01S,350,,72.968,,0.000013638,0.00037817,0.9598,-0.014535,0.0137046376,0.0000142092
2798,10.1039/c4ta04462b,5790,3(c),7217,x=1,Sn0.99Ag0.01S,400,,174.2,,0.000032892,0.0003888,0.91124,0.014221,0.0057405281,0.0000360959
2798,10.1039/c4ta04462b,5790,3(c),7217,x=1,Sn0.99Ag0.01S,450,,275.43,,0.000052146,0.00039943,0.86269,0.042977,0.0036306866,0.0000604458
2798,10.1039/c4ta04462b,5790,3(c),7217,x=1,Sn0.99Ag0.01S,500,,376.66,,0.0000714,0.00041006,0.81413,0.071734,0.0026549142,0.000087701
2798,10.1039/c4ta04462b,5790,3(c),7217,x=1,Sn0.99Ag0.01S,550,,477.89,,0.000090655,0.00042069,0.76558,0.10049,0.0020925318,0.0001184135
2798,10.1039/c4ta04462b,5790,3(c),7217,x=1,Sn0.99Ag0.01S,600,,579.12,,0.00010991,0.00043132,0.71702,0.12925,0.0017267578,0.0001532872
2798,10.1039/c4ta04462b,5790,3(c),7217,x=1,Sn0.99Ag0.01S,650,,680.35,,0.00012916,0.00044194,0.66847,0.158,0.0014698317,0.0001932173
2798,10.1039/c4ta04462b,5790,3(c),7217,x=1,Sn0.99Ag0.01S,700,,781.58,,0.00014842,0.00045257,0.61991,0.18676,0.0012794596,0.0002394219
2798,10.1039/c4ta04462b,5790,3(c),7217,x=1,Sn0.99Ag0.01S,750,,882.81,,0.00016767,0.0004632,0.57135,0.21552,0.0011327466,0.0002934629
2798,10.1039/c4ta04462b,5790,3(c),7217,x=1,Sn0.99Ag0.01S,800,,984.04,,0.00018693,0.00047383,0.5228,0.24427,0.0010162189,0.0003575555
2798,10.1039/c4ta04462b,5790,3(c),7218,x=2,Sn0.98Ag0.02S,350,,465.61,,0.000077337,0.00037156,1.214,0.011124,0.0021477202,0.0000637043
2798,10.1039/c4ta04462b,5790,3(c),7218,x=2,Sn0.98Ag0.02S,400,,508.03,,0.000086823,0.0003817,1.1379,0.027539,0.0019683877,0.0000763011
2798,10.1039/c4ta04462b,5790,3(c),7218,x=2,Sn0.98Ag0.02S,450,,550.46,,0.000096309,0.00039185,1.0619,0.043954,0.0018166624,0.000090695
2798,10.1039/c4ta04462b,5790,3(c),7218,x=2,Sn0.98Ag0.02S,500,,592.89,,0.00010579,0.00040199,0.98582,0.060369,0.0016866535,0.0001073117
2798,10.1039/c4ta04462b,5790,3(c),7218,x=2,Sn0.98Ag0.02S,550,,635.31,,0.00011528,0.00041213,0.90977,0.076785,0.0015740347,0.0001267133
2798,10.1039/c4ta04462b,5790,3(c),7218,x=2,Sn0.98Ag0.02S,600,,677.74,,0.00012477,0.00042227,0.83372,0.0932,0.0014754921,0.0001496546
2798,10.1039/c4ta04462b,5790,3(c),7218,x=2,Sn0.98Ag0.02S,650,,720.17,,0.00013425,0.00043241,0.75767,0.10961,0.001388561,0.000177188
