sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31732,Ge1-xAgxSe_ x=0.03,undefined,350,1.4512e+24,0.0096496,,,0.00038148,0.95813,0.016032,103.6312386006,0.0000150811,0.0000157402
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31732,Ge1-xAgxSe_ x=0.03,undefined,400,1.5073e+24,0.0081144,0.000064442,,0.0004021,0.86573,0.037958,123.2377008775,0.0000199256,0.000023016
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31732,Ge1-xAgxSe_ x=0.03,undefined,450,1.5633e+24,0.0065792,0.000060226,,0.00042272,0.77334,0.059884,151.9941634241,0.0000271602,0.0000351206
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31732,Ge1-xAgxSe_ x=0.03,undefined,500,1.6194e+24,0.005044,0.000056009,,0.00044333,0.68095,0.081809,198.2553528945,0.0000389654,0.0000572221
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31732,Ge1-xAgxSe_ x=0.03,undefined,550,1.6754e+24,0.0035087,0.000051793,,0.00046395,0.58856,0.10374,285.0058426198,0.0000613474,0.000104233
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31732,Ge1-xAgxSe_ x=0.03,undefined,600,1.7315e+24,0.0019735,0.000047577,,0.00048457,0.49617,0.12566,506.7139599696,0.0001189805,0.0002397979
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31732,Ge1-xAgxSe_ x=0.03,undefined,650,1.7875e+24,0.0004383,0.00004336,,0.00050519,0.40378,0.14759,2281.5423226101,0.0005822882,0.0014420928
18662,10.1016/j.jmat.2016.09.001,25490,4(c),31732,Ge1-xAgxSe_ x=0.03,undefined,700,,,,,,0.31139,0.16951,,,
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31733,Ge1-xAgxSe_ x=0.015,undefined,350,1.6741e+24,0.0032867,0.000055568,1.0974,0.00034402,1.1043,0.017459,304.2565491222,0.0000360087,0.0000326077
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31733,Ge1-xAgxSe_ x=0.015,undefined,400,1.7079e+24,0.0030161,0.000052043,0.98882,0.00036744,0.99672,0.0383,331.5539935679,0.0000447638,0.0000449111
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31733,Ge1-xAgxSe_ x=0.015,undefined,450,1.7417e+24,0.0027455,0.000048518,0.88029,0.00039086,0.88917,0.059141,364.2323802586,0.0000556443,0.0000625801
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31733,Ge1-xAgxSe_ x=0.015,undefined,500,1.7755e+24,0.0024749,0.000044992,0.77176,0.00041429,0.78161,0.079982,404.0567295648,0.0000693508,0.0000887281
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31733,Ge1-xAgxSe_ x=0.015,undefined,550,1.8093e+24,0.0022042,0.000041467,0.66323,0.00043771,0.67405,0.10082,453.6793394429,0.0000869204,0.0001289525
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31733,Ge1-xAgxSe_ x=0.015,undefined,600,1.8431e+24,0.0019336,0.000037942,0.55469,0.00046113,0.5665,0.12166,517.170045511,0.0001099715,0.0001941244
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31733,Ge1-xAgxSe_ x=0.015,undefined,650,1.8769e+24,0.001663,0.000034416,0.44616,0.00048455,0.45894,0.1425,601.3229104029,0.0001411838,0.0003076302
18662,10.1016/j.jmat.2016.09.001,25490,4(c),31733,Ge1-xAgxSe_ x=0.015,undefined,700,,,,0.33763,,0.35139,,,,
18662,10.1016/j.jmat.2016.09.001,25483,2(a),31734,Ge1-xAgxSe_ x=0.01,undefined,350,1.5535e+24,0.0047384,0.000075293,1.2302,0.00036404,1.2333,0.015741,211.0417018403,0.0000279683,0.0000226776
