sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,305.5,0.41377,-0.000037452,0.0009071,1.2708,-0.042112,2.4168016048,-0.0000294712
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,306,0.41313,-0.000037127,0.00090641,1.2701,-0.041808,2.420545591,-0.0000292316
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,306.5,0.41249,-0.000036802,0.00090572,1.2695,-0.041505,2.4243011952,-0.0000289894
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,307,0.41184,-0.000036477,0.00090503,1.2689,-0.041201,2.4281274281,-0.0000287469
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,307.5,0.4112,-0.000036153,0.00090435,1.2682,-0.040898,2.4319066148,-0.0000285073
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,308,0.41056,-0.000035828,0.00090366,1.2676,-0.040594,2.4356975838,-0.0000282644
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,308.5,0.40992,-0.000035503,0.00090297,1.267,-0.040291,2.4395003903,-0.0000280213
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,309,0.40928,-0.000035178,0.00090228,1.2663,-0.039987,2.4433150899,-0.0000277801
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,309.5,0.40864,-0.000034854,0.00090159,1.2657,-0.039684,2.4471417384,-0.0000275373
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,310,0.408,-0.000034529,0.0009009,1.2651,-0.03938,2.4509803922,-0.0000272935
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,310.5,0.40736,-0.000034204,0.00090021,1.2644,-0.039077,2.4548311076,-0.0000270516
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,311,0.40672,-0.000033879,0.00089952,1.2638,-0.038773,2.4586939418,-0.0000268072
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,311.5,0.40607,-0.000033555,0.00089883,1.2632,-0.03847,2.4626295959,-0.0000265635
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,312,0.40543,-0.00003323,0.00089814,1.2625,-0.038166,2.4665170313,-0.0000263208
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,312.5,0.40479,-0.000032905,0.00089745,1.2619,-0.037863,2.4704167593,-0.0000260758
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,313,0.40415,-0.00003258,0.00089676,1.2613,-0.037559,2.4743288383,-0.0000258305
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,313.5,0.40351,-0.000032256,0.00089607,1.2606,-0.037255,2.4782533271,-0.0000255878
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,314,0.40287,-0.000031931,0.00089538,1.26,-0.036952,2.4821902847,-0.0000253421
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,314.5,0.40223,-0.000031606,0.00089469,1.2594,-0.036648,2.4861397708,-0.0000250961
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,315,0.40159,-0.000031281,0.000894,1.2588,-0.036345,2.4901018452,-0.0000248499
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,315.5,0.40095,-0.000030957,0.00089331,1.2581,-0.036041,2.4940765682,-0.0000246062
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,316,0.40031,-0.000030632,0.00089262,1.2575,-0.035738,2.4980640004,-0.0000243594
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,316.5,0.39966,-0.000030307,0.00089193,1.2569,-0.035434,2.5021268078,-0.0000241125
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,317,0.39902,-0.000029982,0.00089124,1.2562,-0.035131,2.5061400431,-0.0000238672
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,317.5,0.39838,-0.000029658,0.00089055,1.2556,-0.034827,2.510166173,-0.0000236206
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,318,0.39774,-0.000029333,0.00088986,1.255,-0.034524,2.5142052597,-0.0000233729
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,318.5,0.3971,-0.000029008,0.00088917,1.2543,-0.03422,2.5182573659,-0.0000231268
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,319,0.39646,-0.000028683,0.00088848,1.2537,-0.033917,2.5223225546,-0.0000228787
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,319.5,0.39582,-0.000028359,0.0008878,1.2531,-0.033613,2.5264008893,-0.0000226311
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,320,0.39518,-0.000028034,0.00088711,1.2524,-0.03331,2.5304924338,-0.0000223842
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,320.5,0.39454,-0.000027709,0.00088642,1.2518,-0.033006,2.5345972525,-0.0000221353
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,321,0.39389,-0.000027384,0.00088573,1.2512,-0.032702,2.5387798624,-0.0000218862
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,321.5,0.39325,-0.00002706,0.00088504,1.2505,-0.032399,2.5429116338,-0.0000216393
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,322,0.39261,-0.000026735,0.00088435,1.2499,-0.032095,2.5470568758,-0.0000213897
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,322.5,0.39197,-0.00002641,0.00088366,1.2493,-0.031792,2.5512156543,-0.0000211398
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,323,0.39133,-0.000026085,0.00088297,1.2486,-0.031488,2.5553880357,-0.0000208914
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,323.5,0.39069,-0.000025761,0.00088228,1.248,-0.031185,2.5595740869,-0.0000206418
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,324,0.39005,-0.000025436,0.00088159,1.2474,-0.030881,2.5637738751,-0.0000203912
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,324.5,0.38941,-0.000025111,0.0008809,1.2467,-0.030578,2.5679874682,-0.000020142
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,325,0.38877,-0.000024786,0.00088021,1.2461,-0.030274,2.5722149343,-0.0000198909
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,325.5,0.38813,-0.000024462,0.00087952,1.2455,-0.029971,2.5764563419,-0.0000196403
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,326,0.38748,-0.000024137,0.00087883,1.2448,-0.029667,2.5807783628,-0.0000193903
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,326.5,0.38684,-0.000023812,0.00087814,1.2442,-0.029364,2.5850480819,-0.0000191384
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,327,0.3862,-0.000023487,0.00087745,1.2436,-0.02906,2.5893319524,-0.0000188863
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,327.5,0.38556,-0.000023163,0.00087676,1.2429,-0.028757,2.5936300446,-0.0000186363
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,328,0.38492,-0.000022838,0.00087607,1.2423,-0.028453,2.5979424296,-0.0000183836
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,328.5,0.38428,-0.000022513,0.00087538,1.2417,-0.028149,2.6022691787,-0.0000181308
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,329,0.38364,-0.000022188,0.00087469,1.241,-0.027846,2.6066103639,-0.0000178791
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,329.5,0.383,-0.000021864,0.000874,1.2404,-0.027542,2.6109660574,-0.0000176266
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,330,0.38236,-0.000021539,0.00087331,1.2398,-0.027239,2.6153363323,-0.000017373
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,330.5,0.38171,-0.000021214,0.00087262,1.2391,-0.026935,2.6197898929,-0.0000171205
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,331,0.38107,-0.000020889,0.00087193,1.2385,-0.026632,2.6241897814,-0.0000168664
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,331.5,0.38043,-0.000020565,0.00087125,1.2379,-0.026328,2.6286044739,-0.0000166128
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,332,0.37979,-0.00002024,0.00087056,1.2372,-0.026025,2.6330340451,-0.0000163595
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,332.5,0.37915,-0.000019915,0.00086987,1.2366,-0.025721,2.6374785705,-0.0000161046
73,10.1016/j.actamat.2015.04.023,4591,3(a),5857,x=0,Mg3Sb2,333,0.37851,-0.00001959,0.00086918,1.236,-0.025418,2.6419381258,-0.0000158495
