sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27936,10.1021/acsami.7b08770,25512,4(a),31764,Sn1−xNaxS_ x=0,undefined,350,8.159e+23,0.0052286,,0.81473,0.00044641,0.85354,0.012373,191.2557854875,0.0000381138,0.0000446538
27936,10.1021/acsami.7b08770,25512,4(a),31764,Sn1−xNaxS_ x=0,undefined,400,9.7053e+23,0.0051055,,0.76835,0.0004486,0.80227,0.021374,195.867202037,0.0000394167,0.0000491315
27936,10.1021/acsami.7b08770,25512,4(a),31764,Sn1−xNaxS_ x=0,undefined,450,1.1252e+24,0.0049825,,0.72196,0.00045078,0.751,0.030375,200.7024586051,0.0000407833,0.0000543053
27936,10.1021/acsami.7b08770,25512,4(a),31764,Sn1−xNaxS_ x=0,undefined,500,1.2798e+24,0.0048594,,0.67558,0.00045296,0.69973,0.039376,205.7867226407,0.0000422218,0.0000603402
27936,10.1021/acsami.7b08770,25512,4(a),31764,Sn1−xNaxS_ x=0,undefined,550,1.4344e+24,0.0047364,,0.6292,0.00045515,0.64847,0.048376,211.130816654,0.0000437382,0.0000674483
27936,10.1021/acsami.7b08770,25512,4(a),31764,Sn1−xNaxS_ x=0,undefined,600,1.5891e+24,0.0046133,,0.58281,0.00045733,0.5972,0.057377,216.7645719984,0.0000453365,0.0000759151
27936,10.1021/acsami.7b08770,25512,4(a),31764,Sn1−xNaxS_ x=0,undefined,650,1.7437e+24,0.0044902,,0.53643,0.00045951,0.54593,0.066378,222.7072290767,0.0000470245,0.0000861365
27936,10.1021/acsami.7b08770,25514,5(a),31764,Sn1−xNaxS_ x=0,undefined,700,,0.0043672,,0.49004,0.00046169,0.49466,0.075379,228.9796666056,0.0000488088,0.0000986713
27936,10.1021/acsami.7b08770,25514,5(a),31764,Sn1−xNaxS_ x=0,undefined,750,,0.0042441,,0.44366,0.00046388,0.44339,0.08438,235.6212153342,0.0000507021,0.000114351
27936,10.1021/acsami.7b08770,25516,6(a),31764,Sn1−xNaxS_ x=0,undefined,800,,,,,,0.39212,0.093381,,,
27936,10.1021/acsami.7b08770,25518,6(c),31764,Sn1−xNaxS_ x=0,undefined,300,,,,,,,0.0033724,,,
27936,10.1021/acsami.7b08770,25512,4(a),31765,Sn1−xNaxS_ x=0.005,undefined,350,1.2792e+25,0.00057092,0.0010094,0.83338,0.00024488,0.85902,0.0023095,1751.5588874098,0.0001050344,0.0001222723
27936,10.1021/acsami.7b08770,25512,4(a),31765,Sn1−xNaxS_ x=0.005,undefined,400,1.2437e+25,0.00056117,0.00099467,0.78155,0.00025698,0.80901,0.053648,1781.9911969635,0.0001176804,0.0001454623
27936,10.1021/acsami.7b08770,25512,4(a),31765,Sn1−xNaxS_ x=0.005,undefined,450,1.2082e+25,0.00055142,0.00097995,0.72971,0.00026908,0.759,0.10499,1813.4996917051,0.0001313047,0.000172997
27936,10.1021/acsami.7b08770,25512,4(a),31765,Sn1−xNaxS_ x=0.005,undefined,500,1.1728e+25,0.00054166,0.00096522,0.67788,0.00028118,0.709,0.15632,1846.176568327,0.0001459628,0.0002058713
27936,10.1021/acsami.7b08770,25512,4(a),31765,Sn1−xNaxS_ x=0.005,undefined,550,1.1373e+25,0.00053191,0.0009505,0.62605,0.00029328,0.65899,0.20766,1880.0172961591,0.0001617062,0.0002453849
27936,10.1021/acsami.7b08770,25512,4(a),31765,Sn1−xNaxS_ x=0.005,undefined,600,1.1019e+25,0.00052216,0.00093577,0.57421,0.00030538,0.60898,0.259,1915.1218017466,0.0001785984,0.0002932747
27936,10.1021/acsami.7b08770,25512,4(a),31765,Sn1−xNaxS_ x=0.005,undefined,650,1.0664e+25,0.0005124,0.00092105,0.52238,0.00031747,0.55898,0.31034,1951.6003122561,0.0001966963,0.0003518844
27936,10.1021/acsami.7b08770,25514,5(a),31765,Sn1−xNaxS_ x=0.005,undefined,700,,0.00050265,,0.47054,0.00032957,0.50897,0.36168,1989.4558838158,0.0002160875,0.0004245584
27936,10.1021/acsami.7b08770,25514,5(a),31765,Sn1−xNaxS_ x=0.005,undefined,750,,0.0004929,,0.41871,0.00034167,0.45896,0.41301,2028.8090890647,0.0002368399,0.000516036
27936,10.1021/acsami.7b08770,25514,5(a),31765,Sn1−xNaxS_ x=0.005,undefined,800,,0.00048314,,0.36687,0.00035377,0.40896,0.46435,2069.7934346152,0.0002590413,0.0006334148
27936,10.1021/acsami.7b08770,25514,5(a),31765,Sn1−xNaxS_ x=0.005,undefined,850,,0.00047339,,,0.00036587,0.35895,0.66961,2112.4231606075,0.0002827708,0.000787772
27936,10.1021/acsami.7b08770,25512,4(a),31766,Sn1−xNaxS_ x=0.01,undefined,350,8.7154e+24,0.0011471,0.00076442,0.7284,0.00028104,0.73826,-0.022266,871.7635777177,0.0000688549,0.0000932665
27936,10.1021/acsami.7b08770,25512,4(a),31766,Sn1−xNaxS_ x=0.01,undefined,400,8.3792e+24,0.0010992,0.00076846,0.68759,0.00029143,0.6997,0.026202,909.7525473071,0.0000772666,0.0001104282
27936,10.1021/acsami.7b08770,25512,4(a),31766,Sn1−xNaxS_ x=0.01,undefined,450,8.0431e+24,0.0010513,0.0007725,0.64678,0.00030181,0.66114,0.07467,951.2032721393,0.0000866444,0.0001310531
27936,10.1021/acsami.7b08770,25512,4(a),31766,Sn1−xNaxS_ x=0.01,undefined,500,7.7069e+24,0.0010034,0.00077654,0.60596,0.0003122,0.62258,0.12314,996.6115208292,0.0000971386,0.0001560258
27936,10.1021/acsami.7b08770,25512,4(a),31766,Sn1−xNaxS_ x=0.01,undefined,550,7.3707e+24,0.00095557,0.00078059,0.56515,0.00032258,0.58402,0.17161,1046.4958087843,0.0001088961,0.0001864596
27936,10.1021/acsami.7b08770,25512,4(a),31766,Sn1−xNaxS_ x=0.01,undefined,600,7.0346e+24,0.00090768,0.00078463,0.52434,0.00033297,0.54546,0.22007,1101.7098536929,0.0001221455,0.0002239312
27936,10.1021/acsami.7b08770,25512,4(a),31766,Sn1−xNaxS_ x=0.01,undefined,650,6.6984e+24,0.0008598,0.00078867,0.48353,0.00034335,0.5069,0.26854,1163.0611770179,0.0001371124,0.000270492
27936,10.1021/acsami.7b08770,25514,5(a),31766,Sn1−xNaxS_ x=0.01,undefined,700,,0.00081192,,0.44272,0.00035374,0.46834,0.31701,1231.6484382698,0.0001541186,0.0003290742
27936,10.1021/acsami.7b08770,25514,5(a),31766,Sn1−xNaxS_ x=0.01,undefined,750,,0.00076403,,0.40191,0.00036412,0.42978,0.36548,1308.8491289609,0.0001735316,0.0004037685
27936,10.1021/acsami.7b08770,25514,5(a),31766,Sn1−xNaxS_ x=0.01,undefined,800,,0.00071615,,0.3611,0.00037451,0.39122,0.41395,1396.3555121134,0.0001958497,0.0005006126
27936,10.1021/acsami.7b08770,25514,5(a),31766,Sn1−xNaxS_ x=0.01,undefined,850,,0.00066826,,,0.00038489,0.35266,0.53431,1496.4235477209,0.0002216807,0.000628596
27936,10.1021/acsami.7b08770,25517,6(b),31766,Sn1−xNaxS_ x=0.01,undefined,300,,,,0.76921,,,,,,
27936,10.1021/acsami.7b08770,25512,4(a),31767,Sn1−xNaxS_ x=0.02,undefined,350,1.8902e+25,0.00046183,0.00082866,0.8272,0.00021617,0.84861,0.011222,2165.2989195158,0.0001011833,0.0001192341
27936,10.1021/acsami.7b08770,25512,4(a),31767,Sn1−xNaxS_ x=0.02,undefined,400,1.8439e+25,0.00045854,0.00082833,0.77536,0.00023077,0.79918,0.063634,2180.8348235705,0.0001161399,0.0001453238
27936,10.1021/acsami.7b08770,25512,4(a),31767,Sn1−xNaxS_ x=0.02,undefined,450,1.7977e+25,0.00045524,0.00082799,0.72352,0.00024536,0.74976,0.11605,2196.6435286882,0.0001322413,0.0001763782
27936,10.1021/acsami.7b08770,25512,4(a),31767,Sn1−xNaxS_ x=0.02,undefined,500,1.7514e+25,0.00045194,0.00082766,0.67169,0.00025996,0.70033,0.16846,2212.6830995265,0.0001495314,0.0002135156
