sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
2795,10.1039/c4ta01957a,11387,4a,13630,Cu2.95Sb1-xSnxSe4 (x=0.00),Cu2.95SbSe4,350,2.1736e+43,0.00022245,0.0089055,2.4774,0.00038479,2.4047,0.10158,4495.3922229715,0.0006656028,0.0002767925
2795,10.1039/c4ta01957a,11387,4a,13630,Cu2.95Sb1-xSnxSe4 (x=0.00),Cu2.95SbSe4,400,7.8106e+43,0.00020298,0.007346,2.2236,0.00037006,2.1826,0.15205,4926.5937530791,0.0006746694,0.0003091127
2795,10.1039/c4ta01957a,11387,4a,13630,Cu2.95Sb1-xSnxSe4 (x=0.00),Cu2.95SbSe4,450,1.3448e+44,0.00018336,0.0057865,1.9699,0.00035532,1.9604,0.20253,5453.7521815009,0.0006885488,0.0003512287
2795,10.1039/c4ta01957a,11387,4a,13630,Cu2.95Sb1-xSnxSe4 (x=0.00),Cu2.95SbSe4,500,1.9085e+44,0.00016361,0.0042271,1.7161,0.00034059,1.7383,0.253,6112.0958376627,0.0007090126,0.000407877
2795,10.1039/c4ta01957a,11387,4a,13630,Cu2.95Sb1-xSnxSe4 (x=0.00),Cu2.95SbSe4,550,2.4722e+44,0.00014371,0.0026676,1.4623,0.00032586,1.5162,0.30347,6958.4580057059,0.0007388821,0.0004873249
2795,10.1039/c4ta01957a,11387,4a,13630,Cu2.95Sb1-xSnxSe4 (x=0.00),Cu2.95SbSe4,600,3.0359e+44,0.00012368,0.0011082,1.2086,0.00031112,1.2941,0.35395,8085.3816300129,0.0007826298,0.0006047676
2795,10.1039/c4ta01957a,11387,4a,13630,Cu2.95Sb1-xSnxSe4 (x=0.00),Cu2.95SbSe4,650,,0.0001035,,,0.00029639,1.072,0.40442,9661.8357487923,0.0008487636,0.0007917571
2795,10.1039/c4ta01957a,11388,4b,13630,Cu2.95Sb1-xSnxSe4 (x=0.00),Cu2.95SbSe4,300,-3.4633e+43,,0.010465,2.7311,0.00039952,2.6268,,,,
2795,10.1039/c4ta01957a,11387,4a,13631,Cu2.95Sb1-xSnxSe4 (x=0.01),Cu2.95Sb0.99Sn0.01Se4,350,5.1578e+25,0.000034879,0.0033091,2.5468,0.00018132,2.6086,0.13201,28670.5467473265,0.0009425999,0.0003613432
2795,10.1039/c4ta01957a,11387,4a,13631,Cu2.95Sb1-xSnxSe4 (x=0.01),Cu2.95Sb0.99Sn0.01Se4,400,5.8696e+25,0.000038096,0.0029428,2.2771,0.00019367,2.3642,0.20406,26249.4750104998,0.0009845671,0.0004164483
2795,10.1039/c4ta01957a,11387,4a,13631,Cu2.95Sb1-xSnxSe4 (x=0.01),Cu2.95Sb0.99Sn0.01Se4,450,6.5814e+25,0.000041704,0.0025765,2.0073,0.00020602,2.1199,0.2761,23978.5152503357,0.0010177499,0.0004800933
