sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27923,10.1021/acs.inorgchem.8b00301,25351,3(b)(i),31585,Cu4Mn2Te4,undefined,350,250360,,0.000023493,,,0.0000039942,0.000138179,
27923,10.1021/acs.inorgchem.8b00301,25351,3(b)(i),31585,Cu4Mn2Te4,undefined,400,239790,,0.000027991,,,0.0000041703,0.0001878745,
27923,10.1021/acs.inorgchem.8b00301,25351,3(b)(i),31585,Cu4Mn2Te4,undefined,450,229220,,0.000032488,,,0.0000043626,0.0002419349,
27923,10.1021/acs.inorgchem.8b00301,25351,3(b)(i),31585,Cu4Mn2Te4,undefined,500,218640,,0.000036986,,,0.0000045737,0.0002990917,
27923,10.1021/acs.inorgchem.8b00301,25351,3(b)(i),31585,Cu4Mn2Te4,undefined,550,208070,,0.000041483,,,0.0000048061,0.000358055,
27923,10.1021/acs.inorgchem.8b00301,25351,3(b)(i),31585,Cu4Mn2Te4,undefined,600,197500,,0.00004598,,,0.0000050633,0.0004175467,
27923,10.1021/acs.inorgchem.8b00301,25351,3(b)(i),31585,Cu4Mn2Te4,undefined,650,186930,,0.000050478,,,0.0000053496,0.000476303,
27923,10.1021/acs.inorgchem.8b00301,25351,3(b)(i),31585,Cu4Mn2Te4,undefined,700,176360,,0.000054975,,,0.0000056702,0.0005330041,
27923,10.1021/acs.inorgchem.8b00301,25353,4(a),31586,Cu4Mn2+xTe4_ x=0,undefined,350,250270,,0.00002318,2.5639,0.0013885,0.0000039957,0.0001344732,0.0000524487
27923,10.1021/acs.inorgchem.8b00301,25353,4(a),31586,Cu4Mn2+xTe4_ x=0,undefined,400,239710,0.4293,0.000027699,2.6021,0.018035,0.0000041717,0.0001839138,0.000070679
27923,10.1021/acs.inorgchem.8b00301,25353,4(a),31586,Cu4Mn2+xTe4_ x=0,undefined,450,229150,0.38836,0.000032218,2.6402,0.034681,0.000004364,0.0002378576,0.0000900907
27923,10.1021/acs.inorgchem.8b00301,25353,4(a),31586,Cu4Mn2+xTe4_ x=0,undefined,500,218590,0.34742,0.000036738,2.6783,0.051328,0.0000045748,0.0002950267,0.0001101545
27923,10.1021/acs.inorgchem.8b00301,25353,4(a),31586,Cu4Mn2+xTe4_ x=0,undefined,550,208030,0.30648,0.000041257,2.7165,0.067974,0.000004807,0.0003540962,0.0001303502
27923,10.1021/acs.inorgchem.8b00301,25353,4(a),31586,Cu4Mn2+xTe4_ x=0,undefined,600,197470,0.26554,0.000045776,2.7546,0.084621,0.0000050641,0.000413787,0.0001502167
27923,10.1021/acs.inorgchem.8b00301,25353,4(a),31586,Cu4Mn2+xTe4_ x=0,undefined,650,186910,0.2246,0.000050296,2.7927,0.10127,0.0000053502,0.0004728239,0.0001693071
27923,10.1021/acs.inorgchem.8b00301,25353,4(a),31586,Cu4Mn2+xTe4_ x=0,undefined,700,176350,0.18366,0.000054815,2.8309,0.11791,0.0000056705,0.0005298761,0.0001871758
27923,10.1021/acs.inorgchem.8b00301,25359,5(a),31586,Cu4Mn2+xTe4_ x=0,undefined,300,,,,2.5258,,,,
27923,10.1021/acs.inorgchem.8b00301,25364,5(e),31586,Cu4Mn2+xTe4_ x=0,undefined,750,,,,,0.13456,,,
27923,10.1021/acs.inorgchem.8b00301,25353,4(a),31587,Cu4Mn2+xTe4_ x=0.1,undefined,350,167260,0.53927,0.000041478,1.8903,0.048869,0.0000059787,0.0002877582,0.0001522289
