sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,hall density,Electrical resistivity,Power factor,Figure of merit Z
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,305,7.7601e+24,201630,0.16182,-0.00012266,1.4001,0.69094,,0.0000049596,0.0030336192,0.0021667161
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,310,8.0082e+24,207860,0.1617,-0.00012003,1.4357,0.67146,,0.0000048109,0.0029946808,0.0020858681
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,315,8.2563e+24,214090,0.16158,-0.0001174,1.4712,0.65199,,0.0000046709,0.0029507511,0.0020056764
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,320,8.5045e+24,220320,0.16146,-0.00011477,1.5068,0.63252,,0.0000045389,0.0029020887,0.0019259946
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,325,8.7526e+24,226550,0.16134,-0.00011214,1.5423,0.61304,,0.000004414,0.0028489522,0.0018472102
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,330,9.0007e+24,232770,0.16122,-0.00010951,1.5778,0.59357,,0.0000042961,0.0027914803,0.0017692231
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,335,9.2488e+24,239000,0.1611,-0.00010688,1.6134,0.5741,,0.0000041841,0.0027301769,0.0016921885
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,340,9.4969e+24,245230,0.16098,-0.00010425,1.6489,0.55462,,0.0000040778,0.002665175,0.0016163351
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,345,9.745e+24,251460,0.16087,-0.00010162,1.6845,0.53515,,0.0000039768,0.002596733,0.0015415452
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,350,9.9931e+24,257690,0.16075,-0.000098986,1.72,0.51568,,0.0000038806,0.0025249054,0.0014679683
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,355,1.0241e+25,263920,0.16063,-0.000096355,1.7555,0.4962,,0.000003789,0.0024503088,0.0013957897
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,360,1.0489e+25,270150,0.16051,-0.000093725,1.7911,0.47673,,0.0000037016,0.0023730991,0.0013249395
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,365,1.0737e+25,276370,0.16039,-0.000091094,1.8266,0.45726,,0.0000036183,0.0022933505,0.0012555297
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,370,1.0986e+25,282600,0.16027,-0.000088463,1.8622,0.43778,,0.0000035386,0.0022115435,0.0011875972
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,375,1.1234e+25,288830,0.16015,-0.000085832,1.8977,0.41831,,0.0000034622,0.0021278488,0.0011212778
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,380,1.1482e+25,295060,0.16003,-0.000083201,1.9333,0.39884,,0.0000033891,0.0020425252,0.0010564968
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,385,,301290,,-0.00008057,1.9688,0.37936,,0.0000033191,0.0019558315,0.000993413
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,390,,307520,,-0.000077939,2.0043,0.35989,,0.0000032518,0.0018680265,0.0009320094
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,395,,313740,,-0.000075308,2.0399,0.34042,,0.0000031874,0.0017793121,0.0008722545
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,400,,319970,,-0.000072678,2.0754,0.32095,,0.0000031253,0.0016901109,0.0008143543
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,405,,326200,,-0.000070047,2.111,0.30147,,0.0000030656,0.0016005271,0.0007581843
6898,10.1063/1.4870509,24997,2(a),31141,Ag2Se(1+x)_ x=0,undefined,410,,332430,,-0.000067416,2.1465,0.282,,0.0000030082,0.0015108668,0.0007038746
6898,10.1063/1.4870509,24998,2(b),31141,Ag2Se(1+x)_ x=0,undefined,415,,,,-0.000064785,2.1821,0.26253,,,,
6898,10.1063/1.4870509,24998,2(b),31141,Ag2Se(1+x)_ x=0,undefined,420,,,,-0.000062154,2.2176,0.24305,,,,
6898,10.1063/1.4870509,25000,3(b),31141,Ag2Se(1+x)_ x=0,undefined,300,,,0.16193,,,,,,,
6898,10.1063/1.4870509,26107,4(a),31141,Ag2Se(1+x)_ x=0,undefined,,,,,-0.00010447,,,8e+24,,,
6898,10.1063/1.4870509,26107,4(a),31141,Ag2Se(1+x)_ x=0,undefined,,,,,-0.00010051,,,8.5e+24,,,
6898,10.1063/1.4870509,26107,4(a),31141,Ag2Se(1+x)_ x=0,undefined,,,,,-0.000096543,,,9e+24,,,
6898,10.1063/1.4870509,26107,4(a),31141,Ag2Se(1+x)_ x=0,undefined,,,,,-0.000092579,,,9.5e+24,,,
6898,10.1063/1.4870509,26107,4(a),31141,Ag2Se(1+x)_ x=0,undefined,,,,,-0.000088614,,,1e+25,,,
6898,10.1063/1.4870509,26107,4(a),31141,Ag2Se(1+x)_ x=0,undefined,,,,,-0.00008465,,,1.05e+25,,,
6898,10.1063/1.4870509,26107,4(a),31141,Ag2Se(1+x)_ x=0,undefined,,,,,-0.000080686,,,1.1e+25,,,
6898,10.1063/1.4870509,26107,4(a),31141,Ag2Se(1+x)_ x=0,undefined,,,,,-0.000076721,,,1.15e+25,,,
6898,10.1063/1.4870509,26107,4(a),31141,Ag2Se(1+x)_ x=0,undefined,,,,,-0.000072757,,,1.2e+25,,,
6898,10.1063/1.4870509,26107,4(a),31141,Ag2Se(1+x)_ x=0,undefined,,,,,-0.000068793,,,1.25e+25,,,
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,305,6.8366e+24,167130,0.13624,-0.00013442,1.1771,0.70728,,0.0000059834,0.0030198279,0.0025654812
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,310,7.1268e+24,172800,0.13754,-0.00013116,1.2316,0.68596,,0.000005787,0.002972669,0.0024136643
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,315,7.417e+24,178470,0.13885,-0.0001279,1.2861,0.66465,,0.0000056032,0.0029194854,0.0022700299
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,320,7.7072e+24,184140,0.14016,-0.00012463,1.3406,0.64333,,0.0000054307,0.0028601798,0.0021335072
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,325,7.9974e+24,189810,0.14146,-0.00012137,1.3951,0.62201,,0.0000052684,0.0027960298,0.0020041788
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,330,8.2875e+24,195480,0.14277,-0.00011811,1.4496,0.60069,,0.0000051156,0.0027269405,0.0018811676
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,335,8.5777e+24,201150,0.14407,-0.00011485,1.5041,0.57938,,0.0000049714,0.0026532736,0.0017640274
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,340,8.8679e+24,206820,0.14538,-0.00011159,1.5586,0.55806,,0.0000048351,0.0025753905,0.0016523742
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,345,9.1581e+24,212490,0.14668,-0.00010833,1.6131,0.53674,,0.0000047061,0.0024936528,0.0015458761
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,350,9.4483e+24,218160,0.14799,-0.00010507,1.6676,0.51543,,0.0000045838,0.002408422,0.0014442444
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,355,9.7385e+24,223830,0.14929,-0.00010181,1.7221,0.49411,,0.0000044677,0.0023200597,0.0013472271
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,360,1.0029e+25,229500,0.1506,-0.000098546,1.7766,0.47279,,0.0000043573,0.0022287466,0.0012545011
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,365,1.0319e+25,235170,0.1519,-0.000095285,1.8311,0.45148,,0.0000042522,0.0021351628,0.0011660547
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,370,1.0609e+25,240840,0.15321,-0.000092024,1.8856,0.43016,,0.0000041521,0.0020395334,0.0010816363
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,375,1.0899e+25,246510,0.15451,-0.000088763,1.9401,0.40884,,0.0000040566,0.0019422203,0.0010010929
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,380,1.1189e+25,252180,0.15582,-0.000085502,1.9946,0.38752,,0.0000039654,0.0018435851,0.0009242881
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,385,,257850,,-0.000082241,2.0491,0.36621,,0.0000038782,0.0017439896,0.0008511003
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,390,,263520,,-0.000078979,2.1036,0.34489,,0.0000037948,0.0016437541,0.0007814005
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,395,,269190,,-0.000075718,2.1581,0.32357,,0.0000037148,0.0015433243,0.000715131
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,400,,274860,,-0.000072457,2.2126,0.30226,,0.0000036382,0.0014430196,0.0006521828
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,405,,280530,,-0.000069196,2.2671,0.28094,,0.0000035647,0.0013432019,0.0005924758
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,410,,286200,,-0.000065935,2.3216,0.25962,,0.0000034941,0.0012442328,0.0005359376
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,415,,291870,,-0.000062674,2.3761,0.2383,,0.0000034262,0.0011464742,0.0004825025
6898,10.1063/1.4870509,24997,2(a),31142,Ag2Se(1+x)_ x=0.02,undefined,420,,297540,,-0.000059413,2.4306,0.21699,,0.0000033609,0.0010502878,0.0004321105
6898,10.1063/1.4870509,26107,4(a),31142,Ag2Se(1+x)_ x=0.02,undefined,,,,,-0.00011308,,,7e+24,,,
6898,10.1063/1.4870509,26107,4(a),31142,Ag2Se(1+x)_ x=0.02,undefined,,,,,-0.00010853,,,7.5e+24,,,
6898,10.1063/1.4870509,26107,4(a),31142,Ag2Se(1+x)_ x=0.02,undefined,,,,,-0.00010399,,,8e+24,,,
6898,10.1063/1.4870509,26107,4(a),31142,Ag2Se(1+x)_ x=0.02,undefined,,,,,-0.000099447,,,8.5e+24,,,
6898,10.1063/1.4870509,26107,4(a),31142,Ag2Se(1+x)_ x=0.02,undefined,,,,,-0.000094903,,,9e+24,,,
6898,10.1063/1.4870509,26107,4(a),31142,Ag2Se(1+x)_ x=0.02,undefined,,,,,-0.000090358,,,9.5e+24,,,
6898,10.1063/1.4870509,26107,4(a),31142,Ag2Se(1+x)_ x=0.02,undefined,,,,,-0.000085814,,,1e+25,,,
6898,10.1063/1.4870509,26107,4(a),31142,Ag2Se(1+x)_ x=0.02,undefined,,,,,-0.00008127,,,1.05e+25,,,
6898,10.1063/1.4870509,26107,4(a),31142,Ag2Se(1+x)_ x=0.02,undefined,,,,,-0.000076726,,,1.1e+25,,,
6898,10.1063/1.4870509,26107,4(a),31142,Ag2Se(1+x)_ x=0.02,undefined,,,,,-0.000072182,,,1.15e+25,,,
6898,10.1063/1.4870509,26107,4(a),31142,Ag2Se(1+x)_ x=0.02,undefined,,,,,-0.000067638,,,1.2e+25,,,
6898,10.1063/1.4870509,24997,2(a),31143,Ag2Se(1+x)_ x=0.04,undefined,305,7.8304e+24,203880,0.1374,-0.00012165,1.3692,0.64827,,0.0000049048,0.0030171635,0.0022035959
6898,10.1063/1.4870509,24997,2(a),31143,Ag2Se(1+x)_ x=0.04,undefined,310,8.0774e+24,205310,0.13752,-0.00011941,1.38,0.63386,,0.0000048707,0.0029274636,0.0021213504
6898,10.1063/1.4870509,24997,2(a),31143,Ag2Se(1+x)_ x=0.04,undefined,315,8.3245e+24,206750,0.13765,-0.00011717,1.3907,0.61946,,0.0000048368,0.0028384312,0.002041009
6898,10.1063/1.4870509,24997,2(a),31143,Ag2Se(1+x)_ x=0.04,undefined,320,8.5715e+24,208180,0.13777,-0.00011493,1.4015,0.60506,,0.0000048035,0.0027498298,0.0019620619
