sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27931,10.1021/acs.cgd.8b00605,25595,3a,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,350,58765,0.000099641,0.80055,0.25403,0.0000170169,0.0005834382,0.0007287968
27931,10.1021/acs.cgd.8b00605,25595,3a,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,400,55143,0.00010814,0.77494,0.3495,0.0000181347,0.0006448566,0.0008321374
27931,10.1021/acs.cgd.8b00605,25595,3a,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,450,51521,0.00011664,0.74933,0.44497,0.0000194096,0.0007009375,0.000935419
27931,10.1021/acs.cgd.8b00605,25595,3a,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,500,47899,0.00012514,0.72372,0.54044,0.0000208773,0.0007500993,0.0010364496
27931,10.1021/acs.cgd.8b00605,25595,3a,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,550,44277,0.00013364,0.69811,0.63591,0.0000225851,0.0007907717,0.0011327322
27931,10.1021/acs.cgd.8b00605,25595,3a,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,600,40656,0.00014214,0.6725,0.73137,0.0000245966,0.0008214049,0.0012214199
27931,10.1021/acs.cgd.8b00605,25595,3a,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,650,37034,0.00015064,0.64689,0.82684,0.0000270022,0.0008403907,0.0012991246
27931,10.1021/acs.cgd.8b00605,25595,3a,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,700,33412,0.00015914,0.62128,0.92231,0.0000299294,0.0008461769,0.0013619896
27931,10.1021/acs.cgd.8b00605,25595,3a,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,750,29790,0.00016764,0.59567,1.0178,0.0000335683,0.0008371934,0.0014054651
27931,10.1021/acs.cgd.8b00605,25595,3a,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,800,26168,0.00017614,0.57006,1.1133,0.0000382146,0.00081187,0.0014241835
27931,10.1021/acs.cgd.8b00605,25595,3a,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,850,22547,0.00018464,0.54445,1.2087,0.0000443518,0.0007686707,0.0014118298
27931,10.1021/acs.cgd.8b00605,25595,3a,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,900,18925,0.00019314,0.51884,1.3042,0.0000528402,0.0007059604,0.0013606515
27931,10.1021/acs.cgd.8b00605,25596,3c,31869,3T-Perpendicular,Bi0.875Ba0.125CuSeO,300,,0.000091141,0.82616,0.15856,,,
27931,10.1021/acs.cgd.8b00605,25595,3a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,350,13745,0.00010113,0.59519,0.061537,0.0000727537,0.0001405739,0.0002361833
27931,10.1021/acs.cgd.8b00605,25595,3a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,400,12942,0.00010958,0.56982,0.10559,0.0000772678,0.0001554046,0.0002727258
27931,10.1021/acs.cgd.8b00605,25595,3a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,450,12139,0.00011804,0.54445,0.14965,0.0000823791,0.000169138,0.0003106586
27931,10.1021/acs.cgd.8b00605,25595,3a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,500,11336,0.0001265,0.51908,0.1937,0.0000882145,0.0001814015,0.0003494673
27931,10.1021/acs.cgd.8b00605,25595,3a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,550,10532,0.00013495,0.49371,0.23776,0.0000949487,0.0001918035,0.0003884943
27931,10.1021/acs.cgd.8b00605,25595,3a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,600,9729,0.00014341,0.46835,0.28181,0.0001027855,0.0002000908,0.0004272249
27931,10.1021/acs.cgd.8b00605,25595,3a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,650,8925.7,0.00015187,0.44298,0.32586,0.000112036,0.0002058668,0.0004647315
27931,10.1021/acs.cgd.8b00605,25595,3a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,700,8122.4,0.00016032,0.41761,0.36992,0.0001231163,0.000208766,0.0004999066
27931,10.1021/acs.cgd.8b00605,25595,3a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,750,7319.1,0.00016878,0.39224,0.41397,0.0001366288,0.0002084969,0.0005315545
27931,10.1021/acs.cgd.8b00605,25595,3a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,800,6515.9,0.00017724,0.36687,0.45803,0.0001534707,0.0002046906,0.0005579377
27931,10.1021/acs.cgd.8b00605,25595,3a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,850,5712.6,0.0001857,0.3415,0.50208,0.0001750516,0.0001969961,0.0005768553
27931,10.1021/acs.cgd.8b00605,25595,3a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,900,4909.3,0.00019415,0.31613,0.54614,0.000203695,0.0001850522,0.0005853676
27931,10.1021/acs.cgd.8b00605,25597,4a,31868,3T-Parallel,Bi0.875Ba0.125CuSeO,300,,,0.62056,0.017483,,,
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,300,50210,0.000086461,0.6688,0.16837,0.0000199164,0.0003753451,0.0005612217
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,350,47389,0.000097363,0.65051,0.058678,0.0000211019,0.0004492266,0.000690576
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,400,44567,0.00010781,0.63221,0.10349,0.0000224381,0.0005180021,0.0008193513
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,450,41746,0.0001178,0.61392,0.1483,0.0000239544,0.0005793026,0.0009436125
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,500,38924,0.00012734,0.59563,0.19311,0.0000256911,0.0006311712,0.0010596699
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,550,36103,0.00013643,0.57734,0.23792,0.0000276985,0.0006719904,0.0011639422
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,600,33282,0.00014506,0.55904,0.28273,0.0000300463,0.0007003333,0.0012527427
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,650,30460,0.00015324,0.54075,0.32754,0.0000328299,0.0007152769,0.0013227497
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,700,27639,0.00016096,0.52246,0.37235,0.0000361808,0.0007160746,0.0013705826
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,750,24817,0.00016823,0.50417,0.41716,0.000040295,0.0007023542,0.00139309
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,800,21996,0.00017504,0.48587,0.46197,0.0000454628,0.0006739355,0.0013870695
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,850,19174,0.0001814,0.46758,0.50678,0.000052154,0.0006309389,0.001349371
27931,10.1021/acs.cgd.8b00605,25595,3a,31862,0T-parallel,Bi0.875Ba0.125CuSeO,900,16353,0.00018731,0.44929,0.55159,0.0000611509,0.0005737456,0.001277005
