sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27915,10.1039/c7ee00098g,25171,Figure 1A,31360,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.002,undefined,350,13706,,,,0.0000729607,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31360,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.002,undefined,400,13617,,,,0.0000734376,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31360,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.002,undefined,450,13527,,,,0.0000739262,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31360,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.002,undefined,500,13438,,,,0.0000744158,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31360,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.002,undefined,550,13348,,,,0.0000749176,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31360,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.002,undefined,600,13259,,,,0.0000754205,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31360,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.002,undefined,650,13169,,,,0.0000759359,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31360,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.002,undefined,700,13080,,,,0.0000764526,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31360,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.002,undefined,750,12990,,,,0.0000769823,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31361,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.004,undefined,350,18545,,,,0.0000539229,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31361,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.004,undefined,400,18641,,,,0.0000536452,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31361,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.004,undefined,450,18736,,,,0.0000533732,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31361,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.004,undefined,500,18832,,,,0.0000531011,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31361,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.004,undefined,550,18927,,,,0.0000528346,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31361,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.004,undefined,600,19022,,,,0.0000525707,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31361,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.004,undefined,650,19118,,,,0.0000523067,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31361,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.004,undefined,700,19213,,,,0.0000520481,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31361,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.004,undefined,750,19308,,,,0.000051792,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31362,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.006,undefined,350,21500,,,,0.0000465116,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31362,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.006,undefined,400,21864,,,,0.0000457373,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31362,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.006,undefined,450,22228,,,,0.0000449883,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31362,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.006,undefined,500,22592,,,,0.0000442635,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31362,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.006,undefined,550,22956,,,,0.0000435616,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31362,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.006,undefined,600,23320,,,,0.0000428816,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31362,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.006,undefined,650,23684,,,,0.0000422226,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31362,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.006,undefined,700,24048,,,,0.0000415835,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31362,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.006,undefined,750,24412,,,,0.0000409635,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31363,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.008,undefined,350,24519,,,,0.0000407847,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31363,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.008,undefined,400,24940,,,,0.0000400962,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31363,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.008,undefined,450,25361,,,,0.0000394306,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31363,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.008,undefined,500,25783,,,,0.0000387852,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31363,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.008,undefined,550,26204,,,,0.0000381621,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31363,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.008,undefined,600,26625,,,,0.0000375587,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31363,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.008,undefined,650,27046,,,,0.000036974,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31363,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.008,undefined,700,27468,,,,0.000036406,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31363,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.008,undefined,750,27889,,,,0.0000358564,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31364,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.010,undefined,350,25361,,,,0.0000394306,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31364,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.010,undefined,400,25923,,,,0.0000385758,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31364,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.010,undefined,450,26484,,,,0.0000377586,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31364,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.010,undefined,500,27045,,,,0.0000369754,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31364,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.010,undefined,550,27607,,,,0.0000362227,,
27915,10.1039/c7ee00098g,25171,Figure 1A,31364,Mg3.2Sb1.5Bi0.5􏰀xTex_ x=0.010,undefined,600,28168,,,,0.0000355013,,
