sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,300,,0.00060113,0.41219,-0.14337,,,
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,350,-77.471,0.00058618,0.39455,-0.075455,-0.0129080559,-0.0000266196,-0.0000674682
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,400,24.634,0.00057122,0.3769,-0.0075353,0.0405943006,0.0000080379,0.0000213263
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,450,126.74,0.00055627,0.35926,0.060384,0.0078901688,0.000039218,0.0001091632
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,500,228.84,0.00054132,0.34161,0.1283,0.0043698654,0.0000670564,0.0001962951
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,550,330.95,0.00052637,0.32397,0.19622,0.0030216045,0.0000916948,0.0002830348
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,600,433.05,0.00051141,0.30632,0.26414,0.0023092022,0.00011326,0.000369744
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,650,535.16,0.00049646,0.28868,0.33206,0.0018686,0.0001319022,0.0004569151
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,700,637.26,0.00048151,0.27103,0.39998,0.0015692182,0.0001477499,0.0005451423
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,750,739.37,0.00046656,0.25339,0.4679,0.0013525028,0.0001609448,0.0006351662
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,800,841.47,0.0004516,0.23574,0.53582,0.0011883965,0.0001716115,0.0007279696
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,850,943.58,0.00043665,0.2181,0.60374,0.0010597936,0.000179906,0.0008248785
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,900,1045.7,0.0004217,0.20045,0.67166,0.0009562972,0.0001859578,0.0009277015
14595,10.1038/nature13184,25495,1e,31742,SnSe_ a-axis,SnSe,950,1147.8,0.00040675,0.18281,0.73958,0.0008712319,0.0001898984,0.0010387748
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,300,-949.63,0.00058011,0.63511,-0.41301,-0.0010530417,-0.0003195767,-0.0005031833
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,350,-352.9,0.00056415,0.60724,-0.20189,-0.0028336639,-0.0001123158,-0.0001849611
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,400,243.83,0.00054819,0.57936,0.0092192,0.0041012181,0.0000732739,0.0001264739
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,450,840.56,0.00053223,0.55148,0.22033,0.0011896831,0.0002381044,0.0004317553
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,500,1437.3,0.00051627,0.52361,0.43145,0.000695749,0.0003830903,0.000731633
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,550,2034,0.00050032,0.49573,0.64256,0.0004916421,0.0005091511,0.0010270734
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,600,2630.7,0.00048436,0.46785,0.85367,0.000380127,0.0006171743,0.0013191714
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,650,3227.5,0.0004684,0.43998,1.0648,0.0003098373,0.0007081089,0.0016094115
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,700,3824.2,0.00045244,0.4121,1.2759,0.0002614926,0.0007828212,0.0018995904
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,750,4420.9,0.00043649,0.38423,1.487,0.0002261983,0.0008422854,0.0021921386
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,800,5017.7,0.00042053,0.35635,1.6981,0.0001992945,0.0008873576,0.0024901293
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,850,5614.4,0.00040457,0.32847,1.9092,0.0001781134,0.0009189475,0.0027976604
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,900,6211.1,0.00038861,0.3006,2.1203,0.0001610021,0.0009379862,0.00312038
14595,10.1038/nature13184,25495,1e,31743,SnSe_ b-axis,SnSe,950,6807.8,0.00037265,0.27272,2.3315,0.0001468903,0.0009453857,0.0034665068
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,300,,0.00059333,0.59699,-0.29819,,,
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,350,-116.99,0.00057451,0.56831,-0.11951,-0.0085477391,-0.0000386139,-0.0000679452
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,400,360.63,0.0005557,0.53964,0.059176,0.0027729252,0.0001113634,0.0002063662
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,450,838.25,0.00053688,0.51096,0.23786,0.0011929615,0.0002416173,0.0004728693
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,500,1315.9,0.00051806,0.48228,0.41654,0.0007599362,0.0003531694,0.0007322911
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,550,1793.5,0.00049925,0.4536,0.59522,0.000557569,0.0004470309,0.0009855178
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,600,2271.1,0.00048043,0.42492,0.7739,0.0004403153,0.0005241994,0.0012336425
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,650,2748.7,0.00046161,0.39625,0.95258,0.0003638083,0.0005857034,0.0014781159
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,700,3226.4,0.0004428,0.36757,1.1313,0.000309943,0.0006326062,0.0017210496
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,750,3704,0.00042398,0.33889,1.3099,0.0002699784,0.0006658275,0.0019647304
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,800,4181.6,0.00040516,0.31021,1.4886,0.0002391429,0.000686429,0.0022127881
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,850,4659.2,0.00038635,0.28154,1.6673,0.0002146291,0.0006954616,0.0024702055
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,900,5136.9,0.00036753,0.25286,1.846,0.0001946699,0.0006938837,0.0027441419
14595,10.1038/nature13184,25495,1e,31744,SnSe c-axis,SnSe,950,5614.5,0.00034871,0.22418,2.0247,0.0001781103,0.0006827157,0.0030453908
