sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Hall movility,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27939,10.1021/jacs.8b09375,25752,5(a),32108,Ge0.88−ySb0.08PbyTe_ y=0.08_ 1st heating,undefined,300,,,,0.00016434,,,,,
27939,10.1021/jacs.8b09375,25752,5(a),32108,Ge0.88−ySb0.08PbyTe_ y=0.08_ 1st heating,undefined,350,,0.000016992,,0.00017757,,,58851.2241054614,0.0018556441,
27939,10.1021/jacs.8b09375,25752,5(a),32108,Ge0.88−ySb0.08PbyTe_ y=0.08_ 1st heating,undefined,400,,0.000021131,,0.00019081,,,47323.8370167053,0.0017229878,
27939,10.1021/jacs.8b09375,25752,5(a),32108,Ge0.88−ySb0.08PbyTe_ y=0.08_ 1st heating,undefined,450,,0.000023362,,0.00020404,,1.151,42804.5544045886,0.001782053,
27939,10.1021/jacs.8b09375,25752,5(a),32108,Ge0.88−ySb0.08PbyTe_ y=0.08_ 1st heating,undefined,500,,0.000024137,,0.00021727,,1.313,41430.169449393,0.0019557631,
27939,10.1021/jacs.8b09375,25752,5(a),32108,Ge0.88−ySb0.08PbyTe_ y=0.08_ 1st heating,undefined,550,,0.000023908,,0.0002305,,1.4751,41827.0035134683,0.0022222792,
27939,10.1021/jacs.8b09375,25752,5(a),32108,Ge0.88−ySb0.08PbyTe_ y=0.08_ 1st heating,undefined,600,,0.000023131,,0.00024373,,1.6371,43232.026285072,0.0025681688,
27939,10.1021/jacs.8b09375,25752,5(a),32108,Ge0.88−ySb0.08PbyTe_ y=0.08_ 1st heating,undefined,650,,0.000022258,,0.00025697,,1.7992,44927.6664570042,0.0029667347,
27939,10.1021/jacs.8b09375,25752,5(a),32108,Ge0.88−ySb0.08PbyTe_ y=0.08_ 1st heating,undefined,700,,0.000021741,,0.0002702,,1.9612,45996.0443401867,0.003358081,
27939,10.1021/jacs.8b09375,25753,5(b),32108,Ge0.88−ySb0.08PbyTe_ y=0.08_ 1st heating,undefined,750,,0.000022035,,,,2.1233,45382.346267302,,
27939,10.1021/jacs.8b09375,25752,5(a),32109,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd heating,undefined,350,,0.000019344,,0.000197,,0.72024,51695.6162117452,0.0020062552,
27939,10.1021/jacs.8b09375,25752,5(a),32109,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd heating,undefined,400,,0.000019803,,0.00020566,,0.90278,50497.3993839317,0.0021358398,
27939,10.1021/jacs.8b09375,25752,5(a),32109,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd heating,undefined,450,,0.000020262,,0.00021433,,1.0853,49353.4695489093,0.0022671676,
27939,10.1021/jacs.8b09375,25752,5(a),32109,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd heating,undefined,500,,0.000020722,,0.00022299,,1.2679,48257.890165042,0.0023996014,
27939,10.1021/jacs.8b09375,25752,5(a),32109,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd heating,undefined,550,,0.000021181,,0.00023166,,1.4504,47212.1240734621,0.0025337026,
27939,10.1021/jacs.8b09375,25752,5(a),32109,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd heating,undefined,600,,0.00002164,,0.00024032,,1.6329,46210.7208872458,0.0026688402,
27939,10.1021/jacs.8b09375,25752,5(a),32109,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd heating,undefined,650,,0.0000221,,0.00024899,,1.8155,45248.8687782805,0.0028052498,
27939,10.1021/jacs.8b09375,25752,5(a),32109,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd heating,undefined,700,,0.000022559,,0.00025765,,1.998,44328.2060375017,0.0029426625,
27939,10.1021/jacs.8b09375,25752,5(a),32109,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd heating,undefined,750,,0.000023019,,0.00026632,,2.1806,43442.3736912985,0.0030812087,
27939,10.1021/jacs.8b09375,25752,5(a),32110,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd cooling,undefined,350,,0.000018628,,0.00018725,,0.7299,53682.6283014816,0.0018822505,
27939,10.1021/jacs.8b09375,25752,5(a),32110,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd cooling,undefined,400,,0.000018961,,0.00019765,,0.90901,52739.83439692,0.0020603092,
27939,10.1021/jacs.8b09375,25752,5(a),32110,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd cooling,undefined,450,,0.000019294,,0.00020805,,1.0881,51829.5843267337,0.0022434333,
27939,10.1021/jacs.8b09375,25752,5(a),32110,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd cooling,undefined,500,,0.000019627,,0.00021846,,1.2672,50950.2216334641,0.0024315877,
27939,10.1021/jacs.8b09375,25752,5(a),32110,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd cooling,undefined,550,,0.00001996,,0.00022886,,1.4464,50100.2004008016,0.0026240932,
27939,10.1021/jacs.8b09375,25752,5(a),32110,Ge0.88−ySb0.08PbyTe_ y=0.08_ 2nd cooling,undefined,600,,0.000020293,,0.00023927,,1.6255,49278.0761839058,0.0028211764,
