sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,300,0.000020497,0.0001788,,,,48787.6274576767,
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,350,0.000022217,0.00020423,0.00006087,0.86198,0.0061,45010.5774857091,0.0002369313
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,400,0.000023952,0.00022967,0.00006771,0.85269,0.063321,41750.167000668,0.0002693476
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,450,0.000025702,0.00025511,0.00007512,0.84341,0.12054,38907.4780172749,0.0003024745
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,500,0.000027467,0.00028055,0.000082998,0.83412,0.13463,36407.325153821,0.0003363425
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,550,0.000029246,0.00030599,0.00009124,0.82483,0.19595,34192.7101142036,0.0003709734
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,600,0.00003104,0.00033142,0.000099745,0.81554,0.25727,32216.4948453608,0.000406381
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,650,0.000032849,0.00035686,0.00010841,0.80626,0.31858,30442.3270114768,0.0004426116
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,700,0.000034673,0.0003823,0.00011713,0.79697,0.3799,28840.8848383468,0.0004796918
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,750,0.000036512,0.00040774,0.0001258,0.78768,0.44122,27388.2559158633,0.0005176468
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,800,0.000038366,0.00043318,0.00013433,0.7784,0.50254,26064.7448261482,0.0005565005
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,850,0.000040234,0.00045861,0.00014261,0.76911,0.56385,24854.6005865686,0.0005962866
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,900,0.000042117,0.00048405,0.00015053,0.75982,0.62517,23743.3815323978,0.0006370588
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,950,0.000044015,0.00050949,0.000158,0.75053,0.68649,22719.5274338294,0.0006788403
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,1000,0.000045928,0.00053493,0.00016491,0.74125,0.74781,21773.2102421181,0.0007216594
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,1050,0.000047855,0.00056037,0.00017115,0.73196,0.80913,20896.4580503605,0.0007655746
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,1100,0.000049798,0.0005858,0.00017664,0.72267,0.87044,20081.1277561348,0.0008106051
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,1150,0.000051755,0.00061124,0.00018125,0.71339,0.93176,19321.8046565549,0.0008568104
572,10.1021/cm060261t,10663,2(A),12844,Yb14MnSn11,Yb14MnSn11,1200,0.000053727,0.00063668,0.0001849,0.7041,0.99308,18612.6156308746,0.0009042466
572,10.1021/cm060261t,10664,2(B),12844,Yb14MnSn11,Yb14MnSn11,1250,,0.00066212,0.00018748,,1.0544,,
572,10.1021/cm060261t,10664,2(B),12844,Yb14MnSn11,Yb14MnSn11,1300,,0.00068756,0.00018888,,1.1157,,
572,10.1021/cm060261t,10668,4,12845,Zn4Sb3,Zn4Sb3,500,,,,,0.88669,,
572,10.1021/cm060261t,10668,4,12845,Zn4Sb3,Zn4Sb3,550,,,,,1.018,,
572,10.1021/cm060261t,10668,4,12845,Zn4Sb3,Zn4Sb3,600,,,,,1.1494,,
572,10.1021/cm060261t,10668,4,12845,Zn4Sb3,Zn4Sb3,650,,,,,1.2808,,
572,10.1021/cm060261t,10668,4,12846,TAGS,(GeTe)0.85(AgSbTe2)0.15,500,,,,,0.79592,,
572,10.1021/cm060261t,10668,4,12846,TAGS,(GeTe)0.85(AgSbTe2)0.15,550,,,,,0.86339,,
572,10.1021/cm060261t,10668,4,12846,TAGS,(GeTe)0.85(AgSbTe2)0.15,600,,,,,0.93086,,
572,10.1021/cm060261t,10668,4,12846,TAGS,(GeTe)0.85(AgSbTe2)0.15,650,,,,,0.99833,,
572,10.1021/cm060261t,10668,4,12846,TAGS,(GeTe)0.85(AgSbTe2)0.15,700,,,,,1.0658,,
572,10.1021/cm060261t,10668,4,12846,TAGS,(GeTe)0.85(AgSbTe2)0.15,750,,,,,1.1333,,
572,10.1021/cm060261t,10668,4,12846,TAGS,(GeTe)0.85(AgSbTe2)0.15,800,,,,,1.2007,,
572,10.1021/cm060261t,10668,4,12847,CeFe4Sb12,CeFe4Sb,500,,,,,0.52955,,
572,10.1021/cm060261t,10668,4,12847,CeFe4Sb12,CeFe4Sb,550,,,,,0.59687,,
572,10.1021/cm060261t,10668,4,12847,CeFe4Sb12,CeFe4Sb,600,,,,,0.66419,,
572,10.1021/cm060261t,10668,4,12847,CeFe4Sb12,CeFe4Sb,650,,,,,0.73152,,
572,10.1021/cm060261t,10668,4,12847,CeFe4Sb12,CeFe4Sb,700,,,,,0.79884,,
572,10.1021/cm060261t,10668,4,12847,CeFe4Sb12,CeFe4Sb,750,,,,,0.86616,,
572,10.1021/cm060261t,10668,4,12847,CeFe4Sb12,CeFe4Sb,800,,,,,0.93348,,
572,10.1021/cm060261t,10668,4,12847,CeFe4Sb12,CeFe4Sb,850,,,,,1.0008,,
572,10.1021/cm060261t,10668,4,12847,CeFe4Sb12,CeFe4Sb,900,,,,,1.0681,,
572,10.1021/cm060261t,10668,4,12847,CeFe4Sb12,CeFe4Sb,950,,,,,1.1354,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,550,,,,,0.095032,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,600,,,,,0.1301,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,650,,,,,0.16516,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,700,,,,,0.20022,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,750,,,,,0.23528,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,800,,,,,0.27035,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,850,,,,,0.30541,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,900,,,,,0.34047,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,950,,,,,0.37554,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,1000,,,,,0.4106,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,1050,,,,,0.44566,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,1100,,,,,0.48072,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,1150,,,,,0.51579,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,1200,,,,,0.55085,,
572,10.1021/cm060261t,10668,4,12848,CuMo6Se8,CuMo6Se8,1250,,,,,0.58591,,
572,10.1021/cm060261t,10668,4,12849,SiGe,Sige,600,,,,,0.27746,,
572,10.1021/cm060261t,10668,4,12849,SiGe,Sige,650,,,,,0.29713,,
572,10.1021/cm060261t,10668,4,12849,SiGe,Sige,700,,,,,0.31679,,
572,10.1021/cm060261t,10668,4,12849,SiGe,Sige,750,,,,,0.33645,,
572,10.1021/cm060261t,10668,4,12849,SiGe,Sige,800,,,,,0.35611,,
572,10.1021/cm060261t,10668,4,12849,SiGe,Sige,850,,,,,0.37577,,
