sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,350,0.000025004,0.00020459,0.000071524,,0.02659,39993.6010238362,
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,400,0.00002859,0.00023216,0.000081471,0.71031,0.09566,34977.2647778944,0.0003268432
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,450,0.000032177,0.00025973,0.000091418,0.70601,0.16473,31078.099263449,0.0003678843
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,500,0.000035763,0.00028733,0.00010137,0.70171,0.2338,27961.8600229287,0.0004094711
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,550,0.000039349,0.00031487,0.00011131,0.6974,0.30287,25413.6064448906,0.0004514913
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,600,0.000042935,0.00034247,0.00012126,0.6931,0.37194,23291.0213112845,0.0004941134
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,650,0.000046522,0.00037006,0.00013121,0.6888,0.44101,21495.2065689351,0.0005372532
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,700,0.000050108,0.00039761,0.00014115,0.68449,0.51008,19956.8931108805,0.000580885
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,750,0.000053694,0.00042521,0.0001511,0.68019,0.57915,18624.0548292174,0.0006251342
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,800,0.00005728,0.00045281,0.00016105,0.67588,0.64822,17458.1005586592,0.0006699562
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,850,0.000060866,0.00048042,0.000171,0.67158,0.71729,16429.5337298327,0.0007153578
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,900,0.000064453,0.00050796,0.00018094,0.66728,0.78636,15515.1816052007,0.0007612397
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,950,0.000068039,0.00053556,0.00019089,0.66297,0.85543,14697.452931407,0.0008078194
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,1000,0.000071625,0.00056317,0.00020084,0.65867,0.9245,13961.6055846422,0.0008550109
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,1050,0.000075211,0.00059077,0.00021079,0.65437,0.99357,13295.9274574198,0.0009028073
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,1100,0.000078798,0.00061831,0.00022073,0.65006,1.0626,12690.6774283611,0.0009511584
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,1150,0.000082384,0.00064592,0.00023068,0.64576,1.1317,12138.2792775296,0.0010002478
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,1200,0.00008597,0.00067352,0.00024063,0.64146,1.2008,11631.9646388275,0.0010499797
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,1250,0.000089556,0.00070113,0.00025058,0.63715,1.3755,11166.1976863638,0.0011004159
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,350,0.000020772,0.00019514,0.000063667,0.89508,-0.029516,48141.7292509147,0.000218014
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,400,0.00002296,0.00021981,0.000071041,0.88539,0.029184,43554.0069686411,0.0002482635
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,450,0.000025113,0.00024486,0.000078416,0.8757,0.087884,39820.0135388046,0.0002796163
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,500,0.000027231,0.00027028,0.00008579,0.866,0.14658,36722.8526311924,0.0003121016
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,550,0.000029313,0.0002961,0.000093164,0.85631,0.20528,34114.5566813359,0.000345786
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,600,0.00003136,0.00032233,0.00010054,0.84662,0.26398,31887.7551020408,0.0003807257
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,650,0.000033372,0.00034893,0.00010791,0.83693,0.32268,29965.2403212274,0.0004169166
305,10.1063/1.2970089,4706,2(a),5985,Yb14MnSb11,Yb14MnSb11,700,0.000035348,0.00037603,0.00011529,0.82724,0.38138,28290.1437139301,0.0004545597
