sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,350,450190,0.007765,0.00012917,10.402,0.25591,0.0000022213,0.0007464911
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,400,415460,0.00758,0.00013891,9.9254,0.31617,0.000002407,0.0007636972
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,450,380720,0.007395,0.00014866,9.4488,0.37642,0.0000026266,0.0007826391
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,500,345980,0.00721,0.0001584,8.9722,0.43668,0.0000028903,0.0008035933
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,550,311240,0.007025,0.00016814,8.4956,0.49693,0.000003213,0.0008268986
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,600,276500,0.0068401,0.00017788,8.019,0.55718,0.0000036166,0.0008529867
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,650,241770,0.0066551,0.00018763,7.5424,0.61744,0.0000041362,0.0008823584
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,700,207030,0.0064701,0.00019737,7.0658,0.67769,0.0000048302,0.0009156925
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,750,172290,0.0062851,0.00020711,6.5892,0.73795,0.0000058042,0.0009538487
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,800,137550,0.0061001,0.00021685,6.1126,0.7982,0.0000072701,0.000997955
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,850,102810,0.0059151,0.0002266,5.636,0.85845,0.0000097267,0.0010495209
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,900,68075,0.0057301,0.00023634,5.1594,0.91871,0.0000146897,0.0011106136
21244,10.1073/pnas.1617663113,17144,4(F),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,950,33337,0.0055451,0.00024608,4.6828,0.97896,0.0000299967,0.001184142
21244,10.1073/pnas.1617663113,17209,4(B),20540,FeNb0.9Ti0.1Sb,Fe1.00Nb0.89Ti0.1Sb0.99,300,,,0.00011943,,,,
21244,10.1073/pnas.1617663113,17144,4(F),20640,FeNb.7Ti0.3Sb,Fe1.02Nb0.69Ti0.3Sb0.98,350,384360,0.0036909,0.000098097,6.2388,0.19751,0.0000026017,0.0005916042
21244,10.1073/pnas.1617663113,17144,4(F),20640,FeNb.7Ti0.3Sb,Fe1.02Nb0.69Ti0.3Sb0.98,400,361630,0.0037835,0.00010543,6.0695,0.26213,0.0000027653,0.0006233627
