sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27919,10.1039/c7cc05935c,25315,3a,31540,Ag9GaSe6-x_ x=0,Ag9GaSe6,300,2879,-0.00025017,0.2359,0.30358,0.0003473428,0.0001801823,0.000763808
27919,10.1039/c7cc05935c,25315,3a,31540,Ag9GaSe6-x_ x=0,Ag9GaSe6,350,3929.2,-0.00024723,0.25139,0.39296,0.0002545047,0.0002401632,0.0009553411
27919,10.1039/c7cc05935c,25315,3a,31540,Ag9GaSe6-x_ x=0,Ag9GaSe6,400,4979.4,-0.0002443,0.26688,0.48234,0.0002008274,0.000297183,0.0011135454
27919,10.1039/c7cc05935c,25315,3a,31540,Ag9GaSe6-x_ x=0,Ag9GaSe6,450,6029.6,-0.00024136,0.28237,0.57172,0.0001658485,0.0003512522,0.0012439432
27919,10.1039/c7cc05935c,25315,3a,31540,Ag9GaSe6-x_ x=0,Ag9GaSe6,500,7079.8,-0.00023842,0.29787,0.6611,0.0001412469,0.0004024448,0.0013510754
27919,10.1039/c7cc05935c,25315,3a,31540,Ag9GaSe6-x_ x=0,Ag9GaSe6,550,8130,-0.00023549,0.31336,0.75048,0.0001230012,0.0004508535,0.0014387718
27919,10.1039/c7cc05935c,25315,3a,31540,Ag9GaSe6-x_ x=0,Ag9GaSe6,600,9180.2,-0.00023255,0.32885,0.83987,0.0001089301,0.0004964606,0.0015096872
27919,10.1039/c7cc05935c,25315,3a,31540,Ag9GaSe6-x_ x=0,Ag9GaSe6,650,10230,-0.00022961,0.34434,0.92925,0.0000977517,0.0005393333,0.0015662813
27919,10.1039/c7cc05935c,25315,3a,31540,Ag9GaSe6-x_ x=0,Ag9GaSe6,700,11281,-0.00022668,0.35983,1.0186,0.0000886446,0.0005796609,0.0016109299
27919,10.1039/c7cc05935c,25315,3a,31540,Ag9GaSe6-x_ x=0,Ag9GaSe6,750,12331,-0.00022374,0.37533,1.108,0.0000810964,0.0006172848,0.0016446454
