sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,350,239290,0.00015017,12.266,0.14902,0.000004179,0.0053962357,0.0004399344
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,400,221630,0.00016005,11.772,0.1833,0.000004512,0.0056772746,0.0004822693
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,450,203960,0.00016993,11.277,0.21759,0.0000049029,0.0058895908,0.0005222657
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,500,186290,0.00017982,10.783,0.25187,0.000005368,0.0060237304,0.0005586321
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,550,168620,0.0001897,10.288,0.28615,0.0000059305,0.0060679745,0.0005898109
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,600,150950,0.00019958,9.7937,0.32043,0.0000066247,0.006012667,0.0006139321
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,650,133290,0.00020946,9.2992,0.35471,0.0000075024,0.0058478977,0.0006288603
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,700,115620,0.00021935,8.8047,0.389,0.000008649,0.0055629895,0.0006318205
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,750,97950,0.00022923,8.3102,0.42328,0.0000102093,0.0051469192,0.0006193496
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,800,80282,0.00023911,7.8157,0.45756,0.0000124561,0.0045900103,0.0005872808
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,850,62614,0.00024899,7.3211,0.49184,0.0000159709,0.0038818188,0.0005302234
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,900,44946,0.00025888,6.8266,0.52612,0.0000222489,0.0030122294,0.0004412489
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,950,27278,0.00026876,6.3321,0.56041,0.0000366596,0.0019703428,0.0003111674
872,10.1039/c4ee03042g,8684,1(d),10602,x=0.06,FeNb0.94Ti0.06Sb,1000,9610,,5.8376,0.59469,0.0001040583,,
872,10.1039/c4ee03042g,8685,3(a),10602,x=0.06,FeNb0.94Ti0.06Sb,300,256960,,12.761,,0.0000038917,,
872,10.1039/c4ee03042g,8685,3(a),10602,x=0.06,FeNb0.94Ti0.06Sb,1050,-8058,,5.3431,,-0.0001241003,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,50,345300,,,,0.000002896,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,100,327630,,,,0.0000030522,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,150,309970,,,,0.0000032261,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,200,292300,,,,0.0000034211,,
872,10.1039/c4ee03042g,8879,2(a),10602,x=0.06,FeNb0.94Ti0.06Sb,250,274630,,,,0.0000036413,,
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,350,445610,0.00013835,11.11,0.19688,0.0000022441,0.0085292974,0.0007677135
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,400,407020,0.00014675,10.672,0.233,0.0000024569,0.0087654046,0.000821346
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,450,368420,0.00015515,10.235,0.26912,0.0000027143,0.0088684303,0.0008664807
872,10.1039/c4ee03042g,8684,1(d),10603,x=0.08,FeNb0.92Ti0.08Sb,500,329830,0.00016356,9.7978,0.30525,0.0000030319,0.0088235705,0.0009005665
