sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Lattice thermal conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
27926,10.1039/c8ee00418h,25419,2a,31644, PbCuxSe_ x=0, PbSe,350,,,5748.4,1.3995,-0.00022925,1.4673,0.06455,0.0001739615,0.0003021104,0.0002058955
27926,10.1039/c8ee00418h,25419,2a,31644, PbCuxSe_ x=0, PbSe,400,,,6170.4,1.3351,-0.00023921,1.4164,0.11882,0.000162064,0.0003530791,0.0002492792
27926,10.1039/c8ee00418h,25419,2a,31644, PbCuxSe_ x=0, PbSe,450,,,6592.3,1.2707,-0.00024918,1.3656,0.1731,0.0001516921,0.0004093203,0.0002997366
27926,10.1039/c8ee00418h,25419,2a,31644, PbCuxSe_ x=0, PbSe,500,,,7014.2,1.2063,-0.00025915,1.3148,0.22737,0.0001425679,0.0004710647,0.0003582786
27926,10.1039/c8ee00418h,25419,2a,31644, PbCuxSe_ x=0, PbSe,550,,,7436.2,1.142,-0.00026912,1.2639,0.28165,0.0001344773,0.0005385711,0.0004261184
27926,10.1039/c8ee00418h,25419,2a,31644, PbCuxSe_ x=0, PbSe,600,,,7858.1,1.0776,-0.00027909,1.2131,0.33592,0.0001272572,0.0006120771,0.0005045561
27926,10.1039/c8ee00418h,25419,2a,31644, PbCuxSe_ x=0, PbSe,650,,,8280,1.0132,-0.00028906,1.1623,0.3902,0.0001207729,0.0006918411,0.0005952345
27926,10.1039/c8ee00418h,25419,2a,31644, PbCuxSe_ x=0, PbSe,700,,,8702,0.94881,-0.00029902,1.1114,0.44447,0.0001149161,0.0007780716,0.0007000824
27926,10.1039/c8ee00418h,25419,2a,31644, PbCuxSe_ x=0, PbSe,750,,,9123.9,0.88443,-0.00030899,1.0606,0.49875,0.0001096023,0.0008711027,0.0008213301
27926,10.1039/c8ee00418h,25419,2a,31644, PbCuxSe_ x=0, PbSe,800,,,9545.8,0.82004,-0.00031896,1.0098,0.55302,0.0001047581,0.0009711466,0.0009617217
27926,10.1039/c8ee00418h,25419,2a,31645, PbCuxSe_ x=0.00125, PbCu0.00125Se,350,1.2996e+25,0.055345,104310,1.2472,-0.00015218,1.9614,0.46548,0.0000095868,0.0024156895,0.0012316149
27926,10.1039/c8ee00418h,25419,2a,31645, PbCuxSe_ x=0.00125, PbCu0.00125Se,400,1.3136e+25,0.048518,93972,1.1668,-0.00016344,1.8403,0.55541,0.0000106415,0.0025102396,0.0013640383
27926,10.1039/c8ee00418h,25419,2a,31645, PbCuxSe_ x=0.00125, PbCu0.00125Se,450,1.3275e+25,0.041692,83636,1.0864,-0.0001747,1.7192,0.64533,0.0000119566,0.0025525782,0.0014847477
27926,10.1039/c8ee00418h,25419,2a,31645, PbCuxSe_ x=0.00125, PbCu0.00125Se,500,1.3414e+25,0.034865,73300,1.0061,-0.00018596,1.5981,0.73525,0.0000136426,0.0025347962,0.0015861312
27926,10.1039/c8ee00418h,25419,2a,31645, PbCuxSe_ x=0.00125, PbCu0.00125Se,550,1.3553e+25,0.028039,62964,0.92566,-0.00019722,1.477,0.82518,0.0000158821,0.0024490306,0.0016581115
27926,10.1039/c8ee00418h,25419,2a,31645, PbCuxSe_ x=0.00125, PbCu0.00125Se,600,1.3693e+25,0.021212,52628,0.84527,-0.00020848,1.3559,0.9151,0.0000190013,0.0022874187,0.0016870113
