sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Lattice thermal conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,304,0.000043023,0.61249,0.0017693,0.00027825,0.6903,0.79362,23243.3814471329,0.0025630885
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,304.5,0.000042976,0.61238,0.0017701,0.00027812,0.69087,0.79452,23268.8011913626,0.0025621318
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,305,0.000042928,0.61227,0.0017709,0.00027799,0.69144,0.79542,23294.8192322028,0.0025611767
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,305.5,0.000042881,0.61217,0.0017718,0.00027786,0.69201,0.79632,23320.3516709032,0.0025603676
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,306,0.000042834,0.61206,0.0017726,0.00027773,0.69258,0.79722,23345.9401410095,0.0025594155
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,306.5,0.000042787,0.61195,0.0017735,0.00027759,0.69316,0.79812,23371.5848271671,0.0025585723
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,307,0.000042739,0.61184,0.0017743,0.00027746,0.69373,0.79903,23397.8333606308,0.0025576233
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,307.5,0.000042692,0.61173,0.0017752,0.00027733,0.6943,0.79993,23423.5922421062,0.0025568198
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,308,0.000042645,0.61163,0.001776,0.0002772,0.69487,0.80083,23449.4079024505,0.0025558738
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,308.5,0.000042597,0.61152,0.0017769,0.00027707,0.69545,0.80173,23475.8316313355,0.0025550363
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,309,0.00004255,0.61141,0.0017777,0.00027693,0.69602,0.80263,23501.7626321974,0.0025540933
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,309.5,0.000042503,0.6113,0.0017785,0.0002768,0.69659,0.80353,23527.7509822836,0.0025531518
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,310,0.000042455,0.6112,0.0017794,0.00027667,0.69716,0.80443,23554.3516664704,0.0025523553
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,310.5,0.000042408,0.61109,0.0017802,0.00027654,0.69773,0.80533,23580.4565176382,0.0025514167
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,311,0.000042361,0.61098,0.0017811,0.00027641,0.69831,0.80623,23606.6192960506,0.0025505864
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,311.5,0.000042314,0.61087,0.0017819,0.00027627,0.69888,0.80713,23632.8401947346,0.0025496509
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,312,0.000042266,0.61076,0.0017828,0.00027614,0.69945,0.80803,23659.6791747504,0.0025488598
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,312.5,0.000042219,0.61066,0.0017836,0.00027601,0.70002,0.80893,23686.0181434899,0.0025479272
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,313,0.000042172,0.61055,0.0017845,0.00027588,0.7006,0.80983,23712.4158209238,0.0025471025
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,313.5,0.000042124,0.61044,0.0017853,0.00027575,0.70117,0.81074,23739.4359510018,0.0025461728
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,314,0.000042077,0.61033,0.0017862,0.00027561,0.70174,0.81164,23765.9528958814,0.0025453872
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,314.5,0.00004203,0.61022,0.001787,0.00027548,0.70231,0.81254,23792.5291458482,0.0025444604
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,315,0.000041982,0.61012,0.0017878,0.00027535,0.70288,0.81344,23819.7322662093,0.0025435352
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,315.5,0.000041935,0.61001,0.0017887,0.00027522,0.70346,0.81434,23846.4289972577,0.0025427174
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,316,0.000041888,0.6099,0.0017895,0.00027509,0.70403,0.81524,23873.1856378915,0.0025417951
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,316.5,0.00004184,0.60979,0.0017904,0.00027496,0.7046,0.81614,23900.5736137667,0.0025410162
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,317,0.000041793,0.60968,0.0017912,0.00027482,0.70517,0.81704,23927.4519656402,0.0025400967
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,317.5,0.000041746,0.60958,0.0017921,0.00027469,0.70575,0.81794,23954.3908398409,0.0025392844
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,318,0.000041699,0.60947,0.0017929,0.00027456,0.70632,0.81884,23981.3904410178,0.0025383679
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,318.5,0.000041651,0.60936,0.0017938,0.00027443,0.70689,0.81974,24009.0273943003,0.0025375943
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,319,0.000041604,0.60925,0.0017946,0.0002743,0.70746,0.82064,24036.1503701567,0.0025366805
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,319.5,0.000041557,0.60914,0.0017955,0.00027416,0.70804,0.82154,24063.3346969223,0.0025358737
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,320,0.000041509,0.60904,0.0017963,0.00027403,0.70861,0.82245,24091.1609530463,0.0025349628
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,320.5,0.000041462,0.60893,0.0017972,0.0002739,0.70918,0.82335,24118.469924268,0.0025341944
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,321,0.000041415,0.60882,0.001798,0.00027377,0.70975,0.82425,24145.8408789086,0.0025332864
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,321.5,0.000041367,0.60871,0.0017988,0.00027364,0.71032,0.82515,24173.8583895376,0.0025323798
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,322,0.00004132,0.60861,0.0017997,0.0002735,0.7109,0.82605,24201.3552758955,0.0025315797
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,322.5,0.000041273,0.6085,0.0018005,0.00027337,0.71147,0.82695,24228.9147869067,0.0025306759
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,323,0.000041226,0.60839,0.0018014,0.00027324,0.71204,0.82785,24256.5371367584,0.002529914
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,323.5,0.000041178,0.60828,0.0018022,0.00027311,0.71261,0.82875,24284.8122784011,0.0025290131
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,324,0.000041131,0.60817,0.0018031,0.00027298,0.71319,0.82965,24312.5623009409,0.0025282183
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,324.5,0.000041084,0.60807,0.0018039,0.00027284,0.71376,0.83055,24340.3758154026,0.0025273201
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,325,0.000041036,0.60796,0.0018048,0.00027271,0.71433,0.83145,24368.8468661663,0.0025265634
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,325.5,0.000040989,0.60785,0.0018056,0.00027258,0.7149,0.83235,24396.7893825173,0.0025256679
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,326,0.000040942,0.60774,0.0018065,0.00027245,0.71547,0.83325,24424.796052953,0.0025249137
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,326.5,0.000040894,0.60763,0.0018073,0.00027232,0.71605,0.83416,24453.4650559984,0.0025239858
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,327,0.000040847,0.60753,0.0018082,0.00027218,0.71662,0.83506,24481.6020760399,0.0025232341
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,327.5,0.0000408,0.60742,0.001809,0.00027205,0.71719,0.83596,24509.8039215686,0.0025223441
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,328,0.000040752,0.60731,0.0018099,0.00027192,0.71776,0.83686,24538.6729485669,0.002521595
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,328.5,0.000040705,0.6072,0.0018107,0.00027179,0.71834,0.83776,24567.0065102567,0.0025206727
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,329,0.000040658,0.60709,0.0018116,0.00027166,0.71891,0.83866,24595.405578238,0.002519926
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,329.5,0.000040611,0.60699,0.0018124,0.00027152,0.71948,0.83956,24623.8703799463,0.0025190415
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,330,0.000040563,0.60688,0.0018132,0.00027139,0.72005,0.84046,24653.0088997362,0.0025181585
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,330.5,0.000040516,0.60677,0.0018141,0.00027126,0.72062,0.84136,24681.6072662652,0.0025174156
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,331,0.000040469,0.60666,0.0018149,0.00027113,0.7212,0.84226,24710.2720600954,0.0025165003
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,331.5,0.000040421,0.60656,0.0018158,0.000271,0.72177,0.84316,24739.6155463744,0.0025157599
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,332,0.000040374,0.60645,0.0018166,0.00027087,0.72234,0.84406,24768.415316788,0.0025148822
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,332.5,0.000040327,0.60634,0.0018175,0.00027073,0.72291,0.84496,24797.2822178689,0.0025141442
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,333,0.000040279,0.60623,0.0018183,0.0002706,0.72349,0.84587,24826.8328409345,0.0025132345
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,333.5,0.000040232,0.60612,0.0018192,0.00027047,0.72406,0.84677,24855.8361503281,0.002512499
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,334,0.000040185,0.60602,0.00182,0.00027034,0.72463,0.84767,24884.9073037203,0.0025116266
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,334.5,0.000040138,0.60591,0.0018209,0.00027021,0.7252,0.84857,24914.0465394389,0.0025108935
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,335,0.00004009,0.6058,0.0018217,0.00027007,0.72578,0.84947,24943.8762783737,0.0025099893
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,335.5,0.000040043,0.60569,0.0018226,0.00026994,0.72635,0.85037,24973.1538596009,0.0025092586
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,336,0.000039996,0.60558,0.0018234,0.00026981,0.72692,0.85127,25002.500250025,0.0025083916
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,336.5,0.000039948,0.60548,0.0018243,0.00026968,0.72749,0.85217,25032.5423049965,0.0025076633
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,337,0.000039901,0.60537,0.0018251,0.00026955,0.72806,0.85307,25062.0285205885,0.0025067989
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,337.5,0.000039854,0.60526,0.001826,0.00026941,0.72864,0.85397,25091.5842826316,0.0025060386
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,338,0.000039806,0.60515,0.0018268,0.00026928,0.72921,0.85487,25121.8409285032,0.0025051768
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,338.5,0.000039759,0.60504,0.0018277,0.00026915,0.72978,0.85577,25151.5380165497,0.0025044534
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,339,0.000039712,0.60494,0.0018285,0.00026902,0.73035,0.85667,25181.3053988719,0.0025035942
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,339.5,0.000039664,0.60483,0.0018294,0.00026889,0.73093,0.85758,25211.7789431222,0.0025028388
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,340,0.000039617,0.60472,0.0018302,0.00026875,0.7315,0.85848,25241.6891738395,0.0025019822
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,340.5,0.00003957,0.60461,0.0018311,0.00026862,0.73207,0.85938,25271.6704574172,0.0025012635
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,341,0.000039523,0.60451,0.0018319,0.00026849,0.73264,0.86028,25301.7230473395,0.0025004095
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,341.5,0.000039475,0.6044,0.0018328,0.00026836,0.73321,0.86118,25332.4889170361,0.0024996931
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,342,0.000039428,0.60429,0.0018336,0.00026823,0.73379,0.86208,25362.6864157452,0.0024988076
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,342.5,0.000039381,0.60418,0.0018345,0.00026809,0.73436,0.86298,25392.9559940073,0.0024980936
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,343,0.000039333,0.60407,0.0018353,0.00026796,0.73493,0.86388,25423.9442707142,0.0024972446
71,10.1016/j.actamat.2015.01.018,4580,3(a),5851,MgAg0.97Sb0.99,MgAg0.97Sb0.99,343.5,0.000039286,0.60397,0.0018362,0.00026783,0.7355,0.86478,25454.3603319249,0.002496533
