sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical conductivity,Figure of merit Z
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13336,MgAg0.97Sb0.99,MgAg0.97Sb0.99,300,,,0.000042183,,,,0.73177,,23706.2323684897,
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13336,MgAg0.97Sb0.99,MgAg0.97Sb0.99,350,,,0.000037964,0.0018338,0.00026482,0.74904,0.86438,,26340.7438626067,0.0024482004
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13336,MgAg0.97Sb0.99,MgAg0.97Sb0.99,400,,,0.000033745,0.001925,0.00025363,0.77813,0.99698,,29634.0198547933,0.0024738797
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13336,MgAg0.97Sb0.99,MgAg0.97Sb0.99,450,,,0.000029526,0.0020162,0.00024244,0.80721,1.1296,,33868.4549210865,0.0024977391
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13336,MgAg0.97Sb0.99,MgAg0.97Sb0.99,500,,,0.000025307,0.0021074,0.00023125,0.8363,1.2622,,39514.7587623978,0.0025199091
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13337,MgAg0.97Sb0.9925,MgAg0.97Sb0.9925,300,,,0.000035916,,,0.75529,0.76143,,27842.7441808665,
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13337,MgAg0.97Sb0.9925,MgAg0.97Sb0.9925,350,,,0.000032295,0.0019877,0.00025383,0.78639,0.88783,,30964.5455952934,0.0025276262
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13337,MgAg0.97Sb0.9925,MgAg0.97Sb0.9925,400,,,0.000028675,0.0020745,0.00024236,0.81749,1.0142,,34873.58326068,0.0025376457
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13337,MgAg0.97Sb0.9925,MgAg0.97Sb0.9925,450,,,0.000025055,0.0021613,0.0002309,0.84859,1.1406,,39912.193175015,0.0025469308
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13337,MgAg0.97Sb0.9925,MgAg0.97Sb0.9925,500,,,0.000021435,0.002248,0.00021944,0.87969,1.267,,46652.670865407,0.0025554457
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13338,MgAg0.97Sb0.995,MgAg0.97Sb0.995,300,,,0.000024905,0.0021818,,0.82205,0.80754,,40152.5798032524,0.0026540965
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13338,MgAg0.97Sb0.995,MgAg0.97Sb0.995,350,,,0.000023179,0.0022318,0.00022779,0.85483,0.92418,,43142.4996764313,0.0026108115
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13338,MgAg0.97Sb0.995,MgAg0.97Sb0.995,400,,,0.000021452,0.0022817,0.0002208,0.8876,1.0408,,46615.7001678165,0.0025706399
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13338,MgAg0.97Sb0.995,MgAg0.97Sb0.995,450,,,0.000019726,0.0023317,0.00021381,0.92038,1.1575,,50694.5148534929,0.0025334101
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13338,MgAg0.97Sb0.995,MgAg0.97Sb0.995,500,,,0.000018,0.0023817,0.00020681,0.95315,1.2741,,55555.5555555556,0.0024987672
5859,10.1016/j.actamat.2015.09.033,11152,3(a),13338,MgAg0.97Sb0.995,MgAg0.97Sb0.995,550,,,0.000016273,0.0024536,0.00019982,,,,61451.4840533399,
5859,10.1016/j.actamat.2015.09.033,11153,3(b),13339,MgAg0.97Sb1.00,MgAg0.97Sb1.00,350,,,,0.0022818,0.00023557,0.85866,0.93506,,,0.0026573964
5859,10.1016/j.actamat.2015.09.033,11153,3(b),13339,MgAg0.97Sb1.00,MgAg0.97Sb1.00,400,,,,0.0023156,0.00022404,0.89732,1.0305,,,0.0025805733
5859,10.1016/j.actamat.2015.09.033,11153,3(b),13339,MgAg0.97Sb1.00,MgAg0.97Sb1.00,450,,,,0.0023494,0.0002125,0.93599,1.126,,,0.0025100696
5859,10.1016/j.actamat.2015.09.033,11153,3(b),13339,MgAg0.97Sb1.00,MgAg0.97Sb1.00,500,,,,0.0023833,0.00020097,0.97465,1.2214,,,0.0024452881
