sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Power factor,Figure of merit Z
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,300,,,,,0.02629,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,350,,,,,0.030787,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,400,,,,,0.035284,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,450,,,,,0.039781,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,500,,,,,0.044278,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,550,,,,,0.048776,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,600,,,,,0.053273,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,650,,,,,0.05777,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,700,,,,,0.062267,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,750,,,,,0.066764,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,800,,,,,0.071261,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,850,,,,,0.075758,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,900,,,,,0.080256,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,950,,,,,0.084753,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,1000,,,,,0.08925,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,1050,,,,,0.093747,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,1100,,,,,0.098244,,,,
27925,10.1002/advs.201600035,25414,1c,31636,FeNbSb,FeNbSb,1150,,,,,0.10274,,,,
27925,10.1002/advs.201600035,25414,1c,31637,FeNb0.8Ti0.2Sb,FeNb0.8Ti0.2Sb,300,,,,,0.080798,,,,
27925,10.1002/advs.201600035,25414,1c,31637,FeNb0.8Ti0.2Sb,FeNb0.8Ti0.2Sb,350,,,,,0.13388,,,,
27925,10.1002/advs.201600035,25414,1c,31637,FeNb0.8Ti0.2Sb,FeNb0.8Ti0.2Sb,400,,,,,0.18697,,,,
27925,10.1002/advs.201600035,25414,1c,31637,FeNb0.8Ti0.2Sb,FeNb0.8Ti0.2Sb,450,,,,,0.24005,,,,
27925,10.1002/advs.201600035,25414,1c,31637,FeNb0.8Ti0.2Sb,FeNb0.8Ti0.2Sb,500,,,,,0.29314,,,,
27925,10.1002/advs.201600035,25414,1c,31637,FeNb0.8Ti0.2Sb,FeNb0.8Ti0.2Sb,550,,,,,0.34622,,,,
27925,10.1002/advs.201600035,25414,1c,31637,FeNb0.8Ti0.2Sb,FeNb0.8Ti0.2Sb,600,,,,,0.39931,,,,
