sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Power factor,Figure of merit Z
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,9,4.2816e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,9.5,4.2814e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,10,4.2812e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,10.5,4.281e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,11,4.2808e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,11.5,4.2807e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,12,4.2805e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,12.5,4.2803e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,13,4.2801e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,13.5,4.2799e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,14,4.2797e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,14.5,4.2795e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,15,4.2794e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,15.5,4.2792e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,16,4.279e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,16.5,4.2788e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,17,4.2786e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,17.5,4.2784e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,18,4.2783e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,18.5,4.2781e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,19,4.2779e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,19.5,4.2777e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,20,4.2775e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,20.5,4.2773e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,21,4.2771e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,21.5,4.277e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,22,4.2768e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,22.5,4.2766e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,23,4.2764e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,23.5,4.2762e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,24,4.276e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,24.5,4.2759e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,25,4.2757e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,25.5,4.2755e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,26,4.2753e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,26.5,4.2751e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,27,4.2749e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,27.5,4.2747e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,28,4.2746e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,28.5,4.2744e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,29,4.2742e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,29.5,4.274e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,30,4.2738e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,30.5,4.2736e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,31,4.2734e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,31.5,4.2733e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,32,4.2731e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,32.5,4.2729e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,33,4.2727e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,33.5,4.2725e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,34,4.2723e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,34.5,4.2722e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,35,4.272e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,35.5,4.2718e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,36,4.2716e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,36.5,4.2714e+24,,,,,,,
3290,10.1088/0022-3727/44/47/475304,25425,3a,31655, Pb1−xAgxSe_ x=0, PbSe ,37,4.2712e+24,,,,,,,
