sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,318,0.028565,0.0000061566,0.000071926,2.8756,0.11342,162427.3137770848,0.0008402933,0.0002922149
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,318.5,0.02854,0.000006161,0.000071942,2.8691,0.11441,162311.313098523,0.0008400668,0.000292798
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,319,0.028516,0.0000061654,0.00007196,2.8626,0.11541,162195.4779900736,0.0008398874,0.0002934002
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,319.5,0.028492,0.00000617,0.00007198,2.8562,0.11641,162074.5542949757,0.0008397278,0.0002940017
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,320,0.028468,0.0000061746,0.000072001,2.8498,0.1174,161953.8107731675,0.0008395919,0.0002946143
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,320.5,0.028444,0.0000061793,0.000072024,2.8434,0.1184,161830.6280646675,0.0008394894,0.0002952414
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,321,0.02842,0.0000061841,0.000072048,2.837,0.11939,161705.0177066994,0.0008393969,0.0002958748
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,321.5,0.028395,0.000006189,0.000072074,2.8307,0.12039,161576.9914364195,0.0008393378,0.0002965124
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,322,0.028371,0.000006194,0.000072102,2.8244,0.12139,161446.5611882467,0.000839312,0.0002971647
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,322.5,0.028347,0.000006199,0.000072132,2.8181,0.12238,161316.3413453783,0.000839333,0.0002978365
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,323,0.028323,0.0000062042,0.000072163,2.8119,0.12338,161181.1353599175,0.0008393505,0.0002984994
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,323.5,0.028299,0.0000062094,0.000072195,2.8057,0.12437,161046.1558282604,0.0008393916,0.0002991737
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,324,0.028275,0.0000062147,0.00007223,2.7995,0.12537,160908.8129756867,0.0008394891,0.0002998711
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,324.5,0.02825,0.00000622,0.000072266,2.7933,0.12637,160771.7041800643,0.0008396101,0.00030058
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,325,0.028226,0.0000062255,0.000072303,2.7871,0.12736,160629.668299735,0.0008397275,0.0003012908
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,325.5,0.028202,0.000006231,0.000072342,2.781,0.12836,160487.883164821,0.0008398917,0.0003020107
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,326,0.028178,0.0000062366,0.000072382,2.7749,0.12935,160343.7770580124,0.0008400657,0.0003027373
6006,10.1002/adma.201004200,80,1(a),147,Na0.0035Pb0.9965Se1,Na0.0035Pb0.9965Se1,326.5,0.028154,0.0000062423,0.000072424,2.7689,0.13035,160197.3631514025,0.0008402729,0.0003034681
