sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,concentrations,Electrical resistivity,Power factor,Figure of merit Z
13037,10.1021/ja301245b,25430,1a,31657,KxPb1−xTe_ x=0.01,K0.01Pb0.99Te,350,,100230,0.0001189,2.5949,0.23442,,0.0000099771,0.0014169726,0.0005460606
13037,10.1021/ja301245b,25430,1a,31657,KxPb1−xTe_ x=0.01,K0.01Pb0.99Te,400,,87603,0.0001458,2.374,0.31642,,0.0000114151,0.001862233,0.0007844284
13037,10.1021/ja301245b,25430,1a,31657,KxPb1−xTe_ x=0.01,K0.01Pb0.99Te,450,,74978,0.00017269,2.1531,0.39842,,0.0000133372,0.0022359816,0.0010384941
13037,10.1021/ja301245b,25430,1a,31657,KxPb1−xTe_ x=0.01,K0.01Pb0.99Te,500,,62353,0.00019959,1.9322,0.48043,,0.0000160377,0.0024839046,0.0012855318
13037,10.1021/ja301245b,25430,1a,31657,KxPb1−xTe_ x=0.01,K0.01Pb0.99Te,550,,49728,0.00022648,1.7112,0.56243,,0.0000201094,0.0025507078,0.0014905959
13037,10.1021/ja301245b,25430,1a,31657,KxPb1−xTe_ x=0.01,K0.01Pb0.99Te,600,,37103,0.00025338,1.4903,0.64443,,0.000026952,0.0023820654,0.0015983798
13037,10.1021/ja301245b,25430,1a,31657,KxPb1−xTe_ x=0.01,K0.01Pb0.99Te,650,,24478,0.00028027,1.2694,0.72644,,0.000040853,0.0019227781,0.0015147141
13037,10.1021/ja301245b,25430,1a,31657,KxPb1−xTe_ x=0.01,K0.01Pb0.99Te,700,,11853,0.00030717,1.0485,0.80844,,0.0000843668,0.001118371,0.001066639
13037,10.1021/ja301245b,25430,1a,31657,KxPb1−xTe_ x=0.01,K0.01Pb0.99Te,750,,-772.45,0.00033406,0.82754,0.89044,,-0.0012945822,-0.0000862024,-0.000104167
13037,10.1021/ja301245b,25432,1f,31657,KxPb1−xTe_ x=0.01,K0.01Pb0.99Te,300,,,,2.8159,,,,,
13037,10.1021/ja301245b,25430,1a,31659,KxPb1−xTe_ x=0.015,K0.015Pb0.085Te,350,,115980,0.00011212,2.5675,0.24633,,0.0000086222,0.0014579723,0.0005678568
13037,10.1021/ja301245b,25430,1a,31659,KxPb1−xTe_ x=0.015,K0.015Pb0.085Te,400,,101710,0.00014015,2.3514,0.37864,,0.0000098319,0.0019977901,0.0008496173
13037,10.1021/ja301245b,25430,1a,31659,KxPb1−xTe_ x=0.015,K0.015Pb0.085Te,450,,87443,0.00016819,2.1354,0.51094,,0.000011436,0.0024735767,0.0011583669
13037,10.1021/ja301245b,25430,1a,31659,KxPb1−xTe_ x=0.015,K0.015Pb0.085Te,500,,73175,0.00019622,1.9194,0.64325,,0.0000136659,0.002817405,0.0014678571
13037,10.1021/ja301245b,25430,1a,31659,KxPb1−xTe_ x=0.015,K0.015Pb0.085Te,550,,58907,0.00022426,1.7033,0.77555,,0.0000169759,0.0029625831,0.0017393196
13037,10.1021/ja301245b,25430,1a,31659,KxPb1−xTe_ x=0.015,K0.015Pb0.085Te,600,,44639,0.00025229,1.4873,0.90785,,0.0000224019,0.0028412832,0.0019103632
13037,10.1021/ja301245b,25430,1a,31659,KxPb1−xTe_ x=0.015,K0.015Pb0.085Te,650,,30371,0.00028033,1.2713,1.0402,,0.0000329261,0.0023867023,0.0018773714
13037,10.1021/ja301245b,25430,1a,31659,KxPb1−xTe_ x=0.015,K0.015Pb0.085Te,700,,16103,0.00030836,1.0552,1.1725,,0.0000621002,0.0015311681,0.0014510691
13037,10.1021/ja301245b,25430,1a,31659,KxPb1−xTe_ x=0.015,K0.015Pb0.085Te,750,,1834.4,0.0003364,0.83919,1.3048,,0.0005451374,0.0002075898,0.0002473693
13037,10.1021/ja301245b,25430,1a,31660,KxPb1−xTe_ x=0.02,K0.02Pb0.08Te,350,,123000,0.00011136,2.7632,0.26043,,0.0000081301,0.0015253291,0.0005520155
13037,10.1021/ja301245b,25430,1a,31660,KxPb1−xTe_ x=0.02,K0.02Pb0.08Te,400,,108010,0.00013903,2.5158,0.38863,,0.0000092584,0.0020877621,0.0008298601
13037,10.1021/ja301245b,25430,1a,31660,KxPb1−xTe_ x=0.02,K0.02Pb0.08Te,450,,93032,0.00016669,2.2683,0.51683,,0.000010749,0.0025849459,0.0011395961
13037,10.1021/ja301245b,25430,1a,31660,KxPb1−xTe_ x=0.02,K0.02Pb0.08Te,500,,78048,0.00019435,2.0208,0.64503,,0.0000128126,0.002948023,0.0014588396
13037,10.1021/ja301245b,25430,1a,31660,KxPb1−xTe_ x=0.02,K0.02Pb0.08Te,550,,63065,0.00022202,1.7733,0.77323,,0.0000158567,0.0031086555,0.0017530342
13037,10.1021/ja301245b,25430,1a,31660,KxPb1−xTe_ x=0.02,K0.02Pb0.08Te,600,,48082,0.00024968,1.5258,0.90143,,0.0000207978,0.0029974368,0.0019645018
13037,10.1021/ja301245b,25430,1a,31660,KxPb1−xTe_ x=0.02,K0.02Pb0.08Te,650,,33099,0.00027734,1.2784,1.0296,,0.0000302124,0.0025458915,0.0019914671
13037,10.1021/ja301245b,25430,1a,31660,KxPb1−xTe_ x=0.02,K0.02Pb0.08Te,700,,18116,0.00030501,1.0309,1.1578,,0.0000551998,0.0016853514,0.001634835
13037,10.1021/ja301245b,25430,1a,31660,KxPb1−xTe_ x=0.02,K0.02Pb0.08Te,750,,3132.3,0.00033267,0.78341,1.286,,0.0003192542,0.0003466495,0.000442488
13037,10.1021/ja301245b,25430,1a,31658,KxPb1−xTe_ x=0.0125,K0.0125Pb0.9875Te,350,,108500,0.00011566,2.5736,0.25009,,0.0000092166,0.0014514301,0.0005639688
13037,10.1021/ja301245b,25430,1a,31658,KxPb1−xTe_ x=0.0125,K0.0125Pb0.9875Te,400,,95072,0.00014368,2.3559,0.36175,,0.0000105183,0.0019626609,0.0008330833
13037,10.1021/ja301245b,25430,1a,31658,KxPb1−xTe_ x=0.0125,K0.0125Pb0.9875Te,450,,81645,0.00017169,2.1381,0.4734,,0.0000122481,0.0024066869,0.0011256194
13037,10.1021/ja301245b,25430,1a,31658,KxPb1−xTe_ x=0.0125,K0.0125Pb0.9875Te,500,,68219,0.0001997,1.9203,0.58506,,0.0000146587,0.0027205799,0.0014167473
13037,10.1021/ja301245b,25430,1a,31658,KxPb1−xTe_ x=0.0125,K0.0125Pb0.9875Te,550,,54792,0.00022771,1.7026,0.69672,,0.0000182508,0.0028410662,0.0016686634
13037,10.1021/ja301245b,25430,1a,31658,KxPb1−xTe_ x=0.0125,K0.0125Pb0.9875Te,600,,41366,0.00025573,1.4848,0.80838,,0.0000241744,0.0027052468,0.0018219604
13037,10.1021/ja301245b,25430,1a,31658,KxPb1−xTe_ x=0.0125,K0.0125Pb0.9875Te,650,,27939,0.00028374,1.267,0.92004,,0.0000357923,0.0022493238,0.0017753148
13037,10.1021/ja301245b,25430,1a,31658,KxPb1−xTe_ x=0.0125,K0.0125Pb0.9875Te,700,,14512,0.00031175,1.0493,1.0317,,0.0000689085,0.0014103932,0.0013441277
13037,10.1021/ja301245b,25430,1a,31658,KxPb1−xTe_ x=0.0125,K0.0125Pb0.9875Te,750,,1086,0.00033977,0.8315,1.1434,,0.0009208103,0.0001253718,0.0001507779
13037,10.1021/ja301245b,25431,1b,31658,KxPb1−xTe_ x=0.0125,K0.0125Pb0.9875Te,300,,,0.000087651,,,,,,
13037,10.1021/ja301245b,25435,4b,31661,KxPb1−xSe_ x=0,PbSe,350,,13181,-0.00025556,1.3517,0.27485,,0.0000758668,0.0008608632,0.0006368744
13037,10.1021/ja301245b,25435,4b,31661,KxPb1−xSe_ x=0,PbSe,400,,12228,-0.00026076,1.2799,0.30583,,0.0000817795,0.0008314524,0.0006496229
13037,10.1021/ja301245b,25435,4b,31661,KxPb1−xSe_ x=0,PbSe,450,,11276,-0.00026596,1.2082,0.33682,,0.0000886839,0.0007976047,0.0006601595
13037,10.1021/ja301245b,25435,4b,31661,KxPb1−xSe_ x=0,PbSe,500,,10323,-0.00027116,1.1365,0.36781,,0.0000968711,0.0007590269,0.0006678635
13037,10.1021/ja301245b,25435,4b,31661,KxPb1−xSe_ x=0,PbSe,550,,9369.7,-0.00027636,1.0647,0.39879,,0.000106727,0.0007156094,0.0006721231
13037,10.1021/ja301245b,25435,4b,31661,KxPb1−xSe_ x=0,PbSe,600,,8416.9,-0.00028156,0.99301,0.42978,,0.0001188086,0.0006672584,0.0006719554
13037,10.1021/ja301245b,25435,4b,31661,KxPb1−xSe_ x=0,PbSe,650,,7464,-0.00028676,0.92128,0.46077,,0.0001339764,0.0006137744,0.0006662192
13037,10.1021/ja301245b,25435,4b,31661,KxPb1−xSe_ x=0,PbSe,700,,6511.1,-0.00029196,0.84955,0.49175,,0.0001535839,0.0005550103,0.0006532992
13037,10.1021/ja301245b,25435,4b,31661,KxPb1−xSe_ x=0,PbSe,750,,5558.2,-0.00029716,0.77782,0.52274,,0.0001799144,0.0004908117,0.0006310093
13037,10.1021/ja301245b,25435,4b,31661,KxPb1−xSe_ x=0,PbSe,800,,4605.3,-0.00030236,0.70609,0.55373,,0.0002171411,0.0004210238,0.0005962749
13037,10.1021/ja301245b,25435,4b,31661,KxPb1−xSe_ x=0,PbSe,850,,3652.5,-0.00030756,0.63436,0.58471,,0.0002737851,0.0003455015,0.0005446458
13037,10.1021/ja301245b,25435,4b,31662,KxPb1−xSe_ x=0.005,K0.005Pb0.995Se,350,,86354,0.000063635,1.9751,0.072675,,0.0000115802,0.000349683,0.0001770457
13037,10.1021/ja301245b,25435,4b,31662,KxPb1−xSe_ x=0.005,K0.005Pb0.995Se,400,,77012,0.00008566,1.8405,0.17189,,0.000012985,0.000565086,0.0003070285
13037,10.1021/ja301245b,25435,4b,31662,KxPb1−xSe_ x=0.005,K0.005Pb0.995Se,450,,67670,0.00010769,1.7059,0.2711,,0.0000147776,0.0007847782,0.0004600376
13037,10.1021/ja301245b,25435,4b,31662,KxPb1−xSe_ x=0.005,K0.005Pb0.995Se,500,,58328,0.00012971,1.5713,0.37032,,0.0000171444,0.0009813502,0.0006245467
