sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,350,,0.000025004,0.000071524,,0.02659,39993.6010238362,0.0002045946,
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,400,,0.00002859,0.000081471,0.71031,0.09566,34977.2647778944,0.0002321624,0.0003268466
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,450,,0.000032177,0.000091418,0.70601,0.16473,31078.099263449,0.0002597275,0.0003678807
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,500,,0.000035763,0.00010137,0.70171,0.2338,27961.8600229287,0.0002873326,0.0004094749
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,550,,0.000039349,0.00011131,0.6974,0.30287,25413.6064448906,0.0003148725,0.0004514948
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,600,,0.000042935,0.00012126,0.6931,0.37194,23291.0213112845,0.0003424709,0.0004941147
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,650,,0.000046522,0.00013121,0.6888,0.44101,21495.2065689351,0.0003700629,0.0005372573
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,700,,0.000050108,0.00014115,0.68449,0.51008,19956.8931108805,0.0003976076,0.0005808816
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,750,,0.000053694,0.0001511,0.68019,0.57915,18624.0548292174,0.0004252097,0.0006251337
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,800,,0.00005728,0.00016105,0.67588,0.64822,17458.1005586592,0.0004528125,0.00066996
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,850,,0.000060866,0.000171,0.67158,0.71729,16429.5337298327,0.000480416,0.0007153519
305,10.1063/1.2970089,4706,2(a),5984,Yb13.6La0.4MnSb11,Yb13.6La0.4MnSb11,900,,0.000064453,0.00018094,0.66728,0.78636,15515.1816052007,0.0005079559,0.0007612336
