sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Resistivity,Seebeck coefficient
27917,10.1016/j.joule.2017.09.006,25289,10a,31515,Ag9Ga(Se1-xTex)6_ x=0%,Ag9GaSe6,350,,0.037843,0.097876,-0.000062332
27917,10.1016/j.joule.2017.09.006,25289,10a,31515,Ag9Ga(Se1-xTex)6_ x=0%,Ag9GaSe6,400,,0.034845,0.11612,-0.000069234
27917,10.1016/j.joule.2017.09.006,25289,10a,31515,Ag9Ga(Se1-xTex)6_ x=0%,Ag9GaSe6,450,,0.031847,0.13436,-0.000076067
27917,10.1016/j.joule.2017.09.006,25289,10a,31515,Ag9Ga(Se1-xTex)6_ x=0%,Ag9GaSe6,500,,0.028849,0.1526,-0.00008283
27917,10.1016/j.joule.2017.09.006,25289,10a,31515,Ag9Ga(Se1-xTex)6_ x=0%,Ag9GaSe6,550,,0.02585,0.17084,-0.000089523
27917,10.1016/j.joule.2017.09.006,25289,10a,31515,Ag9Ga(Se1-xTex)6_ x=0%,Ag9GaSe6,600,,0.022852,0.18909,-0.000096146
27917,10.1016/j.joule.2017.09.006,25289,10a,31515,Ag9Ga(Se1-xTex)6_ x=0%,Ag9GaSe6,650,,0.019854,0.20733,-0.0001027
27917,10.1016/j.joule.2017.09.006,25289,10a,31515,Ag9Ga(Se1-xTex)6_ x=0%,Ag9GaSe6,700,,0.016856,0.22557,-0.00010918
27917,10.1016/j.joule.2017.09.006,25289,10a,31515,Ag9Ga(Se1-xTex)6_ x=0%,Ag9GaSe6,750,,0.013858,0.24381,-0.0001156
27917,10.1016/j.joule.2017.09.006,25289,10a,31515,Ag9Ga(Se1-xTex)6_ x=0%,Ag9GaSe6,800,,0.01086,0.26205,-0.00012194
27917,10.1016/j.joule.2017.09.006,25299,11a,31515,Ag9Ga(Se1-xTex)6_ x=0%,Ag9GaSe6,850,,,0.2803,-0.00012822
27917,10.1016/j.joule.2017.09.006,25289,10a,31524,Ag9Ga(Se1-xTex)6_ x=12%,Ag9Ga(Se0.88Te0.12)6,350,,0.044165,0.32661,-0.0001164
27917,10.1016/j.joule.2017.09.006,25289,10a,31524,Ag9Ga(Se1-xTex)6_ x=12%,Ag9Ga(Se0.88Te0.12)6,400,,0.04055,0.36666,-0.00012425
27917,10.1016/j.joule.2017.09.006,25289,10a,31524,Ag9Ga(Se1-xTex)6_ x=12%,Ag9Ga(Se0.88Te0.12)6,450,,0.036935,0.40671,-0.0001321
27917,10.1016/j.joule.2017.09.006,25289,10a,31524,Ag9Ga(Se1-xTex)6_ x=12%,Ag9Ga(Se0.88Te0.12)6,500,,0.03332,0.44676,-0.00013995
27917,10.1016/j.joule.2017.09.006,25289,10a,31524,Ag9Ga(Se1-xTex)6_ x=12%,Ag9Ga(Se0.88Te0.12)6,550,,0.029705,0.4868,-0.0001478
27917,10.1016/j.joule.2017.09.006,25289,10a,31524,Ag9Ga(Se1-xTex)6_ x=12%,Ag9Ga(Se0.88Te0.12)6,600,,0.02609,0.52685,-0.00015565
27917,10.1016/j.joule.2017.09.006,25289,10a,31524,Ag9Ga(Se1-xTex)6_ x=12%,Ag9Ga(Se0.88Te0.12)6,650,,0.022475,0.5669,-0.0001635
27917,10.1016/j.joule.2017.09.006,25289,10a,31524,Ag9Ga(Se1-xTex)6_ x=12%,Ag9Ga(Se0.88Te0.12)6,700,,0.01886,0.60694,-0.00017134
27917,10.1016/j.joule.2017.09.006,25289,10a,31524,Ag9Ga(Se1-xTex)6_ x=12%,Ag9Ga(Se0.88Te0.12)6,750,,0.015244,0.64699,-0.00017919
27917,10.1016/j.joule.2017.09.006,25289,10a,31524,Ag9Ga(Se1-xTex)6_ x=12%,Ag9Ga(Se0.88Te0.12)6,800,,0.011629,0.68704,-0.00018704
27917,10.1016/j.joule.2017.09.006,25314,11b,31524,Ag9Ga(Se1-xTex)6_ x=12%,Ag9Ga(Se0.88Te0.12)6,850,,,0.72709,
27917,10.1016/j.joule.2017.09.006,25289,10a,31525,Ag9Ga(Se1-xTex)6_ x=15%,Ag9Ga(Se0.85Te0.15)6,350,,0.045604,0.29574,-0.00010576
27917,10.1016/j.joule.2017.09.006,25289,10a,31525,Ag9Ga(Se1-xTex)6_ x=15%,Ag9Ga(Se0.85Te0.15)6,400,,0.041778,0.33948,-0.00011389
27917,10.1016/j.joule.2017.09.006,25289,10a,31525,Ag9Ga(Se1-xTex)6_ x=15%,Ag9Ga(Se0.85Te0.15)6,450,,0.037953,0.38322,-0.00012201
27917,10.1016/j.joule.2017.09.006,25289,10a,31525,Ag9Ga(Se1-xTex)6_ x=15%,Ag9Ga(Se0.85Te0.15)6,500,,0.034128,0.42696,-0.00013013
27917,10.1016/j.joule.2017.09.006,25289,10a,31525,Ag9Ga(Se1-xTex)6_ x=15%,Ag9Ga(Se0.85Te0.15)6,550,,0.030303,0.4707,-0.00013825
27917,10.1016/j.joule.2017.09.006,25289,10a,31525,Ag9Ga(Se1-xTex)6_ x=15%,Ag9Ga(Se0.85Te0.15)6,600,,0.026478,0.51445,-0.00014638
27917,10.1016/j.joule.2017.09.006,25289,10a,31525,Ag9Ga(Se1-xTex)6_ x=15%,Ag9Ga(Se0.85Te0.15)6,650,,0.022653,0.55819,-0.0001545
27917,10.1016/j.joule.2017.09.006,25289,10a,31525,Ag9Ga(Se1-xTex)6_ x=15%,Ag9Ga(Se0.85Te0.15)6,700,,0.018828,0.60193,-0.00016262
