sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,299,298470,0.00026303,0.000029686,,,0.0000033504,
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,299.5,297970,0.00026291,0.000029704,4.2789,0.018402,0.000003356,0.0000614434
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,300,297470,0.0002628,0.000029723,4.2745,0.018444,0.0000033617,0.0000614809
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,300.5,296970,0.0002627,0.000029742,4.2701,0.018487,0.0000033673,0.0000615208
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,301,296470,0.00026259,0.000029761,4.2657,0.018529,0.000003373,0.0000615585
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,301.5,295980,0.00026251,0.000029781,4.2613,0.018573,0.0000033786,0.0000616033
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,302,295480,0.00026243,0.000029802,4.257,-0.092855,0.0000033843,0.0000616467
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,302.5,294990,0.00026593,0.000029822,4.2526,-0.0921,0.0000033899,0.0000625335
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,303,294490,0.00026692,0.000029843,4.2482,-0.091344,0.0000033957,0.0000628313
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,303.5,294000,0.00026791,0.000029865,4.2438,-0.090589,0.0000034014,0.0000631297
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,304,293510,0.00026889,0.000029887,4.2394,-0.089833,0.000003407,0.0000634264
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,304.5,293020,0.00026988,0.000029909,4.2351,-0.089078,0.0000034127,0.0000637246
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,305,292530,0.00027086,0.000029932,4.2307,-0.088323,0.0000034185,0.0000640225
3503,10.1021/ja400069s,105,6(a),311,Pb0.99Na0.01Se1,Pb0.99Na0.01Se1,305.5,292040,0.00027185,0.000029956,4.2263,-0.087567,0.0000034242,0.0000643234
