sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,mol %,Electrical resistivity,Power factor,Figure of merit Z
4793,10.1103/physrevb.84.155207,91,5,178,Pb1.001Se1Cl0.002,Pb1.001Se1Cl0.002,350,,,98660,-0.00013708,2.276,0.28509,,0.0000101358,0.0018539128,0.0008145487
4793,10.1103/physrevb.84.155207,91,5,178,Pb1.001Se1Cl0.002,Pb1.001Se1Cl0.002,400,,,72230,-0.00015716,2.024,0.35257,,0.0000138447,0.001784028,0.0008814367
4793,10.1103/physrevb.84.155207,91,5,178,Pb1.001Se1Cl0.002,Pb1.001Se1Cl0.002,450,,,53943,-0.00017778,1.8088,0.42415,,0.0000185381,0.0017049078,0.0009425629
4793,10.1103/physrevb.84.155207,91,5,178,Pb1.001Se1Cl0.002,Pb1.001Se1Cl0.002,500,,,40958,-0.00019832,1.6271,0.49503,,0.0000244153,0.0016109118,0.0009900509
4793,10.1103/physrevb.84.155207,91,5,178,Pb1.001Se1Cl0.002,Pb1.001Se1Cl0.002,550,,,31554,-0.00021757,1.4755,0.55677,,0.0000316917,0.0014936624,0.0010123093
4793,10.1103/physrevb.84.155207,91,5,178,Pb1.001Se1Cl0.002,Pb1.001Se1Cl0.002,600,,,24742,-0.00023423,1.351,0.60286,,0.0000404171,0.0013574375,0.001004765
4793,10.1103/physrevb.84.155207,91,5,178,Pb1.001Se1Cl0.002,Pb1.001Se1Cl0.002,650,,,19880,-0.00024746,1.2519,0.63208,,0.0000503018,0.0012173807,0.0009724264
4793,10.1103/physrevb.84.155207,91,5,178,Pb1.001Se1Cl0.002,Pb1.001Se1Cl0.002,700,,,16286,-0.00025746,1.1786,0.64116,,0.0000614024,0.0010795281,0.0009159411
4793,10.1103/physrevb.84.155207,91,5,237,Pb1.002Se1Cl0.004,Pb1.002Se1Cl0.004,300,,830.17,230740,-0.00010425,2.6974,0.2789,,0.0000043339,0.0025076967,0.0009296718
4793,10.1103/physrevb.84.155207,91,5,237,Pb1.002Se1Cl0.004,Pb1.002Se1Cl0.004,350,,730.16,169680,-0.00012503,2.3697,0.39177,,0.0000058934,0.0026525228,0.0011193496
4793,10.1103/physrevb.84.155207,91,5,237,Pb1.002Se1Cl0.004,Pb1.002Se1Cl0.004,400,,630.15,127200,-0.0001431,2.0858,0.49952,,0.0000078616,0.002604752,0.0012488024
4793,10.1103/physrevb.84.155207,91,5,237,Pb1.002Se1Cl0.004,Pb1.002Se1Cl0.004,450,,530.14,97182,-0.00015885,1.8471,0.59742,,0.00001029,0.0024522247,0.001327608
4793,10.1103/physrevb.84.155207,91,5,237,Pb1.002Se1Cl0.004,Pb1.002Se1Cl0.004,500,,430.12,75377,-0.00017281,1.6502,0.68204,,0.0000132666,0.0022510057,0.0013640805
4793,10.1103/physrevb.84.155207,91,5,237,Pb1.002Se1Cl0.004,Pb1.002Se1Cl0.004,550,,330.11,59027,-0.00018558,1.4891,0.75085,,0.0000169414,0.0020328861,0.0013651777
4793,10.1103/physrevb.84.155207,91,5,237,Pb1.002Se1Cl0.004,Pb1.002Se1Cl0.004,600,,230.1,46508,-0.00019777,1.3574,0.80407,,0.0000215017,0.0018190661,0.0013401106
4793,10.1103/physrevb.84.155207,91,5,237,Pb1.002Se1Cl0.004,Pb1.002Se1Cl0.004,650,,130.09,36961,-0.00020992,1.2508,0.8464,,0.0000270555,0.0016287384,0.0013021574
4793,10.1103/physrevb.84.155207,91,5,237,Pb1.002Se1Cl0.004,Pb1.002Se1Cl0.004,700,,30.083,,-0.00022241,1.1694,,,,,
4793,10.1103/physrevb.84.155207,91,5,288,Pb1.004Se1Cl0.008,Pb1.004Se1Cl0.008,350,,436.57,261010,-0.000061534,3.5783,0.096667,,0.0000038313,0.0009882969,0.0002761917
4793,10.1103/physrevb.84.155207,91,5,288,Pb1.004Se1Cl0.008,Pb1.004Se1Cl0.008,400,,382.79,204460,-0.000073669,3.1823,0.13948,,0.0000048909,0.0011096293,0.0003486878
4793,10.1103/physrevb.84.155207,91,5,288,Pb1.004Se1Cl0.008,Pb1.004Se1Cl0.008,450,,329.02,163160,-0.000087176,2.8387,0.19656,,0.000006129,0.0012399597,0.0004368055
4793,10.1103/physrevb.84.155207,91,5,288,Pb1.004Se1Cl0.008,Pb1.004Se1Cl0.008,500,,275.24,131330,-0.00010162,2.544,0.26655,,0.0000076144,0.0013561956,0.0005330957
4793,10.1103/physrevb.84.155207,91,5,288,Pb1.004Se1Cl0.008,Pb1.004Se1Cl0.008,550,,221.47,105940,-0.00011604,2.2929,0.34218,,0.0000094393,0.0014265119,0.0006221431
4793,10.1103/physrevb.84.155207,91,5,288,Pb1.004Se1Cl0.008,Pb1.004Se1Cl0.008,600,,167.69,85634,-0.00012965,2.0793,0.41536,,0.0000116776,0.0014394324,0.0006922678
4793,10.1103/physrevb.84.155207,91,5,288,Pb1.004Se1Cl0.008,Pb1.004Se1Cl0.008,650,,113.91,69680,-0.00014247,1.8976,0.48447,,0.0000143513,0.0014143438,0.0007453329
4793,10.1103/physrevb.84.155207,91,5,288,Pb1.004Se1Cl0.008,Pb1.004Se1Cl0.008,700,,60.139,56889,-0.00015606,1.7438,0.55618,,0.0000175781,0.0013855159,0.0007945383
4793,10.1103/physrevb.84.155207,25540,3b,288,Pb1.004Se1Cl0.008,Pb1.004Se1Cl0.008,300,,490.35,,,,,,,,
4793,10.1103/physrevb.84.155207,91,5,266,Pb1.003Se1Cl0.006,Pb1.003Se1Cl0.006,350,,,238280,-0.000070814,2.9776,0.14045,,0.0000041967,0.0011948843,0.0004012911
4793,10.1103/physrevb.84.155207,91,5,266,Pb1.003Se1Cl0.006,Pb1.003Se1Cl0.006,400,,,187990,-0.000083045,2.6437,0.19616,,0.0000053194,0.0012964678,0.000490399
4793,10.1103/physrevb.84.155207,91,5,266,Pb1.003Se1Cl0.006,Pb1.003Se1Cl0.006,450,,,149840,-0.000095401,2.357,0.26037,,0.0000066738,0.0013637464,0.0005785941
4793,10.1103/physrevb.84.155207,91,5,266,Pb1.003Se1Cl0.006,Pb1.003Se1Cl0.006,500,,,120140,-0.00010835,2.111,0.33406,,0.0000083236,0.0014104103,0.0006681242
4793,10.1103/physrevb.84.155207,91,5,266,Pb1.003Se1Cl0.006,Pb1.003Se1Cl0.006,550,,,96672,-0.00012211,1.9011,0.41702,,0.0000103443,0.0014414619,0.0007582252
4793,10.1103/physrevb.84.155207,91,5,266,Pb1.003Se1Cl0.006,Pb1.003Se1Cl0.006,600,,,78100,-0.00013646,1.7233,0.50635,,0.0000128041,0.001454326,0.0008439192
4793,10.1103/physrevb.84.155207,91,5,266,Pb1.003Se1Cl0.006,Pb1.003Se1Cl0.006,650,,,63417,-0.00015064,1.5726,0.59481,,0.0000157686,0.0014390845,0.0009150989
4793,10.1103/physrevb.84.155207,91,5,266,Pb1.003Se1Cl0.006,Pb1.003Se1Cl0.006,700,,,51361,-0.00016319,1.4419,0.66402,,0.00001947,0.0013677936,0.000948605
4793,10.1103/physrevb.84.155207,91,5,370,Pb1Se1Cl0.001,Pb1Se1Cl0.001,350,,845.57,96056,-0.00015082,2.115,0.36158,,0.0000104106,0.0021849544,0.0010330753
