sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Electrical conductivity,Seebeck coefficient,Thermal conductivity,ZT,content,Electrical resistivity,Power factor,Figure of merit Z
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,300,,480260,,7.7043,0.067331,,0.0000020822,,
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,350,,454870,0.000084678,7.4939,0.13023,,0.0000021984,0.0032615833,0.0004352318
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,400,,429480,0.000092755,7.2835,0.19314,,0.0000023284,0.0036950269,0.0005073147
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,450,,404090,0.00010083,7.0731,0.25604,,0.0000024747,0.0041082573,0.0005808284
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,500,,378700,0.00010891,6.8627,0.31895,,0.0000026406,0.0044919077,0.0006545394
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,550,,353310,0.00011699,6.6523,0.38185,,0.0000028304,0.0048356339,0.0007269116
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,600,,327920,0.00012507,6.4419,0.44475,,0.0000030495,0.0051294902,0.0007962698
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,650,,302530,0.00013314,6.2314,0.50766,,0.0000033055,0.0053627253,0.0008605972
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,700,,277140,0.00014122,6.021,0.57056,,0.0000036083,0.0055270275,0.0009179584
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,750,,251750,0.0001493,5.8106,0.63347,,0.0000039722,0.0056116309,0.0009657576
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,800,,226360,0.00015737,5.6002,0.69637,,0.0000044177,0.0056058771,0.0010010137
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,850,,200970,0.00016545,5.3898,0.75927,,0.0000049759,0.005501293,0.0010206859
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,900,,175580,0.00017353,5.1794,0.82218,,0.0000056954,0.005287181,0.0010208096
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,950,,150190,0.00018161,4.9689,0.88508,,0.0000066582,0.0049535954,0.0009969199
27922,10.1002/aenm.201701313,25328,3a,31559,(Nb1−xTax)0.8Ti0.2FeSb_ x=0,Nb0.8Ti0.2FeSb,1000,,124800,0.00018968,4.7585,0.94798,,0.0000080128,0.0044901171,0.0009435993
