sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Hall coefficient,Electrical conductivity
27924,10.1016/j.actamat.2017.06.011,26675,10a,33456,Nb0.85Ti0.15FeSb,Nb0.85Ti0.15FeSb,50,1.5419e+27,0.0054275,7.367e-7,4.1e-9,1357386.2171003516
27924,10.1016/j.actamat.2017.06.011,26675,10a,33456,Nb0.85Ti0.15FeSb,Nb0.85Ti0.15FeSb,100,1.5401e+27,0.0048553,8.9e-7,4.1e-9,1123646.0065620926
27924,10.1016/j.actamat.2017.06.011,26675,10a,33456,Nb0.85Ti0.15FeSb,Nb0.85Ti0.15FeSb,150,1.5382e+27,0.0042831,0.0000010432,4.1e-9,958588.9570552147
27924,10.1016/j.actamat.2017.06.011,26675,10a,33456,Nb0.85Ti0.15FeSb,Nb0.85Ti0.15FeSb,200,1.5364e+27,0.0037109,0.0000011965,4.1e-9,835770.9987463435
27924,10.1016/j.actamat.2017.06.011,26675,10a,33456,Nb0.85Ti0.15FeSb,Nb0.85Ti0.15FeSb,250,1.5346e+27,0.0031387,0.0000013497,4.1e-9,740905.386382159
27924,10.1016/j.actamat.2017.06.011,26675,10a,33457,Nb0.85Zr0.15FeSb,Nb0.85Zr0.15FeSb,50,1.4195e+27,0.0032983,0.0000012296,4.2e-9,813272.6089785296
27924,10.1016/j.actamat.2017.06.011,26675,10a,33457,Nb0.85Zr0.15FeSb,Nb0.85Zr0.15FeSb,100,1.4237e+27,0.0030212,0.0000013987,4.2e-9,714949.5960534782
27924,10.1016/j.actamat.2017.06.011,26675,10a,33457,Nb0.85Zr0.15FeSb,Nb0.85Zr0.15FeSb,150,1.4279e+27,0.0027442,0.0000015677,4.2e-9,637877.1448618995
27924,10.1016/j.actamat.2017.06.011,26675,10a,33457,Nb0.85Zr0.15FeSb,Nb0.85Zr0.15FeSb,200,1.4322e+27,0.0024672,0.0000017367,4.1e-9,575804.6870501526
27924,10.1016/j.actamat.2017.06.011,26675,10a,33457,Nb0.85Zr0.15FeSb,Nb0.85Zr0.15FeSb,250,1.4364e+27,0.0021901,0.0000019057,4.1e-9,524741.5647793461
27924,10.1016/j.actamat.2017.06.011,27465,6b,34610,Nb0.85Hf0.15FeSb,Nb0.85Hf0.15FeSb,50,,,8.915e-7,,1121742.7395201186
27924,10.1016/j.actamat.2017.06.011,27465,6b,34610,Nb0.85Hf0.15FeSb,Nb0.85Hf0.15FeSb,100,,,0.000001023,,977517.1065493646
27924,10.1016/j.actamat.2017.06.011,27465,6b,34610,Nb0.85Hf0.15FeSb,Nb0.85Hf0.15FeSb,150,,,0.0000011546,,866100.8141347653
27924,10.1016/j.actamat.2017.06.011,27465,6b,34610,Nb0.85Hf0.15FeSb,Nb0.85Hf0.15FeSb,200,,,0.0000012862,,777484.0615767377
27924,10.1016/j.actamat.2017.06.011,27465,6b,34610,Nb0.85Hf0.15FeSb,Nb0.85Hf0.15FeSb,250,,,0.0000014178,,705318.0984624065
