sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
4120,10.1016/j.nanoen.2014.11.027,11853,2a,14058,x=0.0,MgAg0.97Sb0.99,302.5,0.000043043,0.001765,0.0002793,,,23232.5813721163,
4120,10.1016/j.nanoen.2014.11.027,11853,2a,14058,x=0.0,MgAg0.97Sb0.99,303,0.000042996,0.0017659,0.00027916,0.72477,0.73826,23257.9774862778,0.0024364971
4120,10.1016/j.nanoen.2014.11.027,11853,2a,14058,x=0.0,MgAg0.97Sb0.99,303.5,0.000042949,0.0017668,0.00027903,0.72516,0.74717,23283.4291834501,0.0024364278
4120,10.1016/j.nanoen.2014.11.027,11853,2a,14058,x=0.0,MgAg0.97Sb0.99,304,0.000042902,0.0017676,0.0002789,0.72555,0.74831,23308.9366463102,0.0024362208
4120,10.1016/j.nanoen.2014.11.027,11853,2a,14058,x=0.0,MgAg0.97Sb0.99,304.5,0.000042855,0.0017685,0.00027876,0.72594,0.74946,23334.5000583362,0.0024361517
4120,10.1016/j.nanoen.2014.11.027,11853,2a,14058,x=0.0,MgAg0.97Sb0.99,305,0.000042808,0.0017694,0.00027863,0.72633,0.7506,23360.1196038124,0.0024360828
4120,10.1016/j.nanoen.2014.11.027,11853,2a,14058,x=0.0,MgAg0.97Sb0.99,305.5,0.000042761,0.0017702,0.0002785,0.72672,0.75175,23385.7954678328,0.0024358763
4120,10.1016/j.nanoen.2014.11.027,11853,2a,14058,x=0.0,MgAg0.97Sb0.99,306,0.000042713,0.0017711,0.00027837,0.72711,0.75289,23412.0759487744,0.0024358075
4120,10.1016/j.nanoen.2014.11.027,11853,2a,14058,x=0.0,MgAg0.97Sb0.99,306.5,0.000042666,0.001772,0.00027823,0.7275,0.75404,23437.8662166596,0.0024357388
4120,10.1016/j.nanoen.2014.11.027,11853,2a,14058,x=0.0,MgAg0.97Sb0.99,307,0.000042619,0.0017728,0.0002781,0.72789,0.75518,23463.7133672775,0.0024355328
