sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical resistivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Figure of merit Z
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,299,0.000030739,0.00049877,0.00012412,,,32531.9626533069,
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,299.5,0.00003076,0.00049915,0.00012421,,,32509.7529258778,
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,300,0.000030782,0.00049954,0.0001243,,,32486.5180949906,
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,300.5,0.000030803,0.00049992,0.00012439,3.5671,0.042114,32464.370353537,0.0001401475
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,301,0.000030825,0.0005003,0.00012448,3.5651,0.04224,32441.200324412,0.0001403327
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,301.5,0.000030846,0.00050068,0.00012458,3.5632,0.023447,32419.1143097971,0.0001405141
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,302,0.000030867,0.00050107,0.00012467,3.5613,0.023721,32397.0583471021,0.0001406986
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,302.5,0.000030889,0.00050145,0.00012476,3.5594,0.023994,32373.9842662436,0.0001408805
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,303,0.00003091,0.00050183,0.00012485,3.5575,0.024268,32351.9896473633,0.0001410625
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,303.5,0.000030932,0.00050221,0.00012494,3.5556,0.024542,32328.9796974007,0.0001412448
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,304,0.000030953,0.00050259,0.00012503,3.5537,0.024815,32307.046166769,0.0001414272
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,304.5,0.000030975,0.00050298,0.00012513,3.5517,0.025089,32284.1000807103,0.0001416167
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,305,0.000030996,0.00050336,0.00012522,3.5498,0.025363,32262.2273841786,0.0001417995
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,305.5,0.000031017,0.00050374,0.00012531,3.5479,0.025636,32240.3843053809,0.0001419826
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,306,0.000031039,0.00050412,0.0001254,3.546,0.02591,32217.5327813396,0.0001421658
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,306.5,0.00003106,0.00050451,0.00012549,3.5441,0.026183,32195.7501609788,0.0001423521
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,307,0.000031082,0.00050489,0.00012558,3.5422,0.026457,32172.9618428673,0.0001425357
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,307.5,0.000031103,0.00050527,0.00012567,3.5402,0.026731,32151.23943028,0.0001427236
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,308,0.000031124,0.00050565,0.00012577,3.5383,0.027004,32129.5463308058,0.0001429076
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,308.5,0.000031146,0.00050604,0.00012586,3.5364,0.027278,32106.8516021319,0.0001430947
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,309,0.000031167,0.00050642,0.00012595,3.5345,0.027552,32085.2183399108,0.0001432791
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,309.5,0.000031189,0.0005068,0.00012604,3.5326,0.027825,32062.5861682003,0.0001434637
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,310,0.00003121,0.00050718,0.00012613,3.5307,0.028099,32041.0124959949,0.0001436486
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,310.5,0.000031232,0.00050756,0.00012622,3.5287,0.028372,32018.4426229508,0.0001438377
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,311,0.000031253,0.00050795,0.00012632,3.5268,0.028646,31996.9282948837,0.0001440257
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,311.5,0.000031274,0.00050833,0.00012641,3.5249,0.02892,31975.4428598836,0.0001442112
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,312,0.000031296,0.00050871,0.0001265,3.523,0.029193,31952.9652351738,0.0001443968
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,312.5,0.000031317,0.00050909,0.00012659,3.5211,0.029467,31931.5387808539,0.0001445827
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,313,0.000031339,0.00050948,0.00012668,3.5192,0.02974,31909.1228182137,0.0001447715
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,313.5,0.00003136,0.00050986,0.00012677,3.5172,0.030014,31887.7551020408,0.0001449619
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,314,0.000031382,0.00051024,0.00012687,3.5153,0.030288,31865.4005480849,0.0001451484
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,314.5,0.000031403,0.00051062,0.00012696,3.5134,0.030561,31844.0913288539,0.000145335
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,315,0.000031424,0.00051101,0.00012705,3.5115,0.030835,31822.8105906314,0.0001455247
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,315.5,0.000031446,0.00051139,0.00012714,3.5096,0.031109,31800.5469694079,0.0001457118
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,316,0.000031467,0.00051177,0.00012723,3.5077,0.031382,31779.3243715639,0.000145899
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,316.5,0.000031489,0.00051215,0.00012732,3.5057,0.031656,31757.1215345041,0.0001460907
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,317,0.00003151,0.00051254,0.00012742,3.5038,0.031929,31735.9568390987,0.0001462812
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,317.5,0.000031531,0.00051292,0.00012751,3.5019,0.032203,31714.8203355428,0.0001464691
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,318,0.000031553,0.0005133,0.0001276,3.5,0.032477,31692.7075080024,0.0001466571
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,318.5,0.000031574,0.00051368,0.00012769,3.4981,0.03275,31671.6285551403,0.0001468454
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,319,0.000031596,0.00051406,0.00012778,3.4962,0.033024,31649.575895683,0.0001470339
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,319.5,0.000031617,0.00051445,0.00012787,3.4942,0.033297,31628.5542587848,0.0001472297
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,320,0.000031639,0.00051483,0.00012797,3.4923,0.033571,31606.561522172,0.0001474186
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,320.5,0.00003166,0.00051521,0.00012806,3.4904,0.033845,31585.5969677827,0.0001476077
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,321,0.000031681,0.00051559,0.00012815,3.4885,0.034118,31564.6602064329,0.000147797
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,321.5,0.000031703,0.00051598,0.00012824,3.4866,0.034392,31542.7562060373,0.0001479894
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,322,0.000031724,0.00051636,0.00012833,3.4847,0.034666,31521.8761820704,0.0001481792
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,322.5,0.000031746,0.00051674,0.00012842,3.4827,0.034939,31500.0315000315,0.0001483734
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,323,0.000031767,0.00051712,0.00012852,3.4808,0.035213,31479.2079831271,0.0001485635
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,323.5,0.000031789,0.00051751,0.00012861,3.4789,0.035486,31457.4223788103,0.0001487568
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,324,0.00003181,0.00051789,0.0001287,3.477,0.03576,31436.6551398931,0.0001489474
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,324.5,0.000031831,0.00051827,0.00012879,3.4751,0.036034,31415.9153026923,0.0001491382
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,325,0.000031853,0.00051865,0.00012888,3.4732,0.036307,31394.2171851945,0.0001493291
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,325.5,0.000031874,0.00051903,0.00012897,3.4712,0.036581,31373.5332873188,0.0001495247
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,326,0.000031896,0.00051942,0.00012907,3.4693,0.036854,31351.8936543767,0.000149719
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,326.5,0.000031917,0.0005198,0.00012916,3.4674,0.037128,31331.2654698123,0.0001499106
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,327,0.000031939,0.00052018,0.00012925,3.4655,0.037402,31309.6840852876,0.0001501024
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,327.5,0.00003196,0.00052056,0.00012934,3.4636,0.037675,31289.1113892365,0.0001502945
10954,10.1007/s11664-015-4303-6,5134,3(a),6467,x=0,Ca1Zn2Sb2,328,0.000031981,0.00052095,0.00012943,3.4617,0.037949,31268.5657108908,0.0001504896
