sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,Ca9Zn4.5Al3Sb9,350,2.1341e+26,0.00060843,0.000041488,0.000066791,0.77883,0.041668,24103.355187042,0.000107526,0.0001380609
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,Ca9Zn4.5Al3Sb9,400,2.1538e+26,0.00057187,0.000045835,0.000078648,0.75838,0.073484,21817.3884586015,0.0001349516,0.0001779472
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,Ca9Zn4.5Al3Sb9,450,2.1734e+26,0.00053531,0.000050182,0.00008956,0.73793,0.1053,19927.4640309274,0.0001598381,0.0002166033
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,Ca9Zn4.5Al3Sb9,500,2.1931e+26,0.00049875,0.000054529,0.000099527,0.71748,0.13712,18338.8655577766,0.0001816579,0.0002531888
27913,10.1021/acs.chemmater.6b02498,25093,4(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,Ca9Zn4.5Al3Sb9,550,2.2128e+26,0.00046219,0.000058876,0.00010855,0.69703,0.16893,16984.8495142333,0.0002001342,0.0002871243
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,Ca9Zn4.5Al3Sb9,600,,,0.000063223,0.00011663,0.67659,0.20075,15817.0286130048,0.000215152,0.0003179947
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,Ca9Zn4.5Al3Sb9,650,,,0.00006757,0.00012376,0.65614,0.23256,14799.4672191801,0.0002266766,0.0003454699
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,Ca9Zn4.5Al3Sb9,700,,,0.000071917,0.00012995,0.63569,0.26438,13904.9181695566,0.0002348124,0.0003693819
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,Ca9Zn4.5Al3Sb9,750,,,0.000076264,0.00013519,0.61524,0.29619,13112.3465855449,0.0002396457,0.0003895157
27913,10.1021/acs.chemmater.6b02498,25095,5(a),31242,Ca9Zn4.5−xAl2x/3Sb9_ x=0,Ca9Zn4.5Al3Sb9,800,,,0.000080611,0.00013949,0.59479,0.32801,12405.2548659612,0.0002413748,0.0004058151
