sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Carrier concentration,Carrier mobility,Electrical resistivity,Seebeck coefficient,Thermal conductivity,ZT,Electrical conductivity,Power factor,Figure of merit Z
16681,10.1073/pnas.1111419109,25545,3b,31798,Br-PbSe_ 7E18,Br-PbSe,350,,,0.0000091814,-0.00016008,1.6195,0.44738,108915.8516130438,0.0027910347,0.0017233929
16681,10.1073/pnas.1111419109,25545,3b,31798,Br-PbSe_ 7E18,Br-PbSe,400,,,0.000016896,-0.00017147,1.5436,0.47307,59185.6060606061,0.0017401729,0.001127347
16681,10.1073/pnas.1111419109,25545,3b,31798,Br-PbSe_ 7E18,Br-PbSe,450,,,0.00002461,-0.00018286,1.4678,0.49875,40633.8886631451,0.001358707,0.0009256759
16681,10.1073/pnas.1111419109,25545,3b,31798,Br-PbSe_ 7E18,Br-PbSe,500,,,0.000032324,-0.00019425,1.3919,0.52443,30936.7652518253,0.0011673389,0.0008386658
16681,10.1073/pnas.1111419109,25545,3b,31798,Br-PbSe_ 7E18,Br-PbSe,550,,,0.000040038,-0.00020564,1.3161,0.55011,24976.272541086,0.0010561919,0.0008025164
16681,10.1073/pnas.1111419109,25545,3b,31798,Br-PbSe_ 7E18,Br-PbSe,600,,,0.000047753,-0.00021703,1.2402,0.57579,20941.0927062174,0.0009863678,0.0007953296
16681,10.1073/pnas.1111419109,25545,3b,31798,Br-PbSe_ 7E18,Br-PbSe,650,,,0.000055467,-0.00022842,1.1644,0.60147,18028.7378080661,0.000940662,0.0008078512
16681,10.1073/pnas.1111419109,25545,3b,31798,Br-PbSe_ 7E18,Br-PbSe,700,,,0.000063181,-0.00023981,1.0885,0.62715,15827.5430904861,0.0009102236,0.0008362183
16681,10.1073/pnas.1111419109,25545,3b,31798,Br-PbSe_ 7E18,Br-PbSe,750,,,0.000070895,-0.00025119,1.0126,0.65284,14105.3670921786,0.0008899981,0.0008789237
16681,10.1073/pnas.1111419109,25545,3b,31798,Br-PbSe_ 7E18,Br-PbSe,800,,,0.00007861,-0.00026258,0.93679,0.67852,12721.027859051,0.0008770927,0.0009362746
16681,10.1073/pnas.1111419109,25545,3b,31798,Br-PbSe_ 7E18,Br-PbSe,850,,,0.000086324,,,0.7042,11584.2639358695,,
16681,10.1073/pnas.1111419109,25545,3b,31799,Br-PbSe_ 1E19,Br-PbSe,300,,,5.844e-7,,,,1711186.0230325637,,
16681,10.1073/pnas.1111419109,25545,3b,31799,Br-PbSe_ 1E19,Br-PbSe,350,,,0.000007059,-0.00013958,1.8064,0.39241,141663.1250885395,0.0027599627,0.0015278801
16681,10.1073/pnas.1111419109,25545,3b,31799,Br-PbSe_ 1E19,Br-PbSe,400,,,0.000013534,-0.00015263,1.7116,0.42972,73887.9858135067,0.0017212884,0.0010056604
16681,10.1073/pnas.1111419109,25545,3b,31799,Br-PbSe_ 1E19,Br-PbSe,450,,,0.000020008,-0.00016569,1.6167,0.46703,49980.0079968013,0.00137211,0.0008487103
16681,10.1073/pnas.1111419109,25545,3b,31799,Br-PbSe_ 1E19,Br-PbSe,500,,,0.000026483,-0.00017874,1.5219,0.50434,37760.0724993392,0.0012063583,0.000792666
16681,10.1073/pnas.1111419109,25545,3b,31799,Br-PbSe_ 1E19,Br-PbSe,550,,,0.000032957,-0.00019179,1.427,0.54164,30342.5675880693,0.0011161029,0.0007821324
16681,10.1073/pnas.1111419109,25545,3b,31799,Br-PbSe_ 1E19,Br-PbSe,600,,,0.000039432,-0.00020485,1.3322,0.57895,25360.113613309,0.0010641997,0.0007988288
16681,10.1073/pnas.1111419109,25545,3b,31799,Br-PbSe_ 1E19,Br-PbSe,650,,,0.000045907,-0.0002179,1.2374,0.61626,21783.1703226088,0.0010342739,0.0008358444
16681,10.1073/pnas.1111419109,25545,3b,31799,Br-PbSe_ 1E19,Br-PbSe,700,,,0.000052381,-0.00023095,1.1425,0.65357,19090.891735553,0.0010182681,0.0008912631
16681,10.1073/pnas.1111419109,25545,3b,31799,Br-PbSe_ 1E19,Br-PbSe,750,,,0.000058856,-0.00024401,1.0477,0.69087,16990.6211771102,0.0010116365,0.0009655784
16681,10.1073/pnas.1111419109,25545,3b,31799,Br-PbSe_ 1E19,Br-PbSe,800,,,0.00006533,-0.00025706,0.95284,0.72818,15306.9034134395,0.0010114778,0.00106154
