sid,DOI,figureid,fignum,sampleid,samplename,composition,Temperature,Electrical conductivity,Power factor,Seebeck coefficient,Thermal conductivity,ZT,Electrical resistivity,Figure of merit Z
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27478,Electrical Conductivity,,350,10777000,,,,,9.28e-8,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27478,Electrical Conductivity,,400,11240000,,,,,8.9e-8,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27478,Electrical Conductivity,,450,11703000,,,,,8.54e-8,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27478,Electrical Conductivity,,500,12167000,,,,,8.22e-8,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27478,Electrical Conductivity,,550,12630000,,,,,7.92e-8,
24838,10.1016/s1002-0721(12)60398-6,22062,7 (a),27478,Electrical Conductivity,,600,13094000,,,,,7.64e-8,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,YbZn2Sb2,300,,0.00035056,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,YbZn2Sb2,350,,0.00046925,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,YbZn2Sb2,400,,0.00058795,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,YbZn2Sb2,450,,0.00070664,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,YbZn2Sb2,500,,0.00082533,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,YbZn2Sb2,550,,0.00094402,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27482,YbZn2Sb2,YbZn2Sb2,600,,0.0010627,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,YbCd2Sb2,300,,0.00072853,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,YbCd2Sb2,350,,0.00081949,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,YbCd2Sb2,400,,0.00091045,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,YbCd2Sb2,450,,0.0010014,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,YbCd2Sb2,500,,0.0010924,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,YbCd2Sb2,550,,0.0011833,,,,,
24838,10.1016/s1002-0721(12)60398-6,22063,7 (b),27483,YbCd2Sb2,YbCd2Sb2,600,,0.0012743,,,,,
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,300,125710,,,,,0.0000079548,
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,350,116200,0.0020287,0.00013213,2.2711,0.27527,0.0000086059,0.0008932676
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,400,106700,0.0021165,0.00014084,2.1144,0.37919,0.0000093721,0.0010009932
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,450,97189,0.0021734,0.00014954,1.9577,0.48311,0.0000102892,0.0011101803
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,500,87683,0.0021959,0.00015825,1.8011,0.58703,0.0000114047,0.0012191994
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,550,78176,0.0021789,0.00016695,1.6444,0.69095,0.0000127916,0.0013250426
24838,10.1016/s1002-0721(12)60398-6,25085,4a,31231,Eu(Zn1–xCdx)2Sb2_ x=0,EuZn2Sb2,600,68669,0.0021189,0.00017566,1.4877,0.79487,0.0000145626,0.0014242791
